,,,,,Playing Time,,,Performance,,,,,,,Per 90 Minutes,,,,,
Country,Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Argentina,Rodrigo De Paul,MF,27,16,16,"1,272",14.1,1,3,1,0,0,2,0,0.07,0.21,0.28,0.07,0.28,Matches
Argentina,Nicolás Otamendi,DF,33,15,15,"1,331",14.8,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Argentina,Lionel Messi,"FW,MF",34,15,14,"1,275",14.2,7,0,5,2,2,0,0,0.49,0,0.49,0.35,0.35,Matches
Argentina,Leandro Paredes,MF,27,14,14,"1,133",12.6,1,2,1,0,0,4,0,0.08,0.16,0.24,0.08,0.24,Matches
Argentina,Lautaro Martínez,FW,24,14,14,"1,049",11.7,7,3,7,0,0,0,0,0.6,0.26,0.86,0.6,0.86,Matches
Argentina,Emiliano Martínez,GK,29,10,10,849,9.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Argentina,Nahuel Molina,DF,23,10,9,820,9.1,0,1,0,0,0,0,0,0,0.11,0.11,0,0.11,Matches
Argentina,Giovani Lo Celso,MF,25,11,9,779,8.7,0,5,0,0,0,1,0,0,0.58,0.58,0,0.58,Matches
Argentina,Marcos Acuña,"DF,MF",30,10,9,772,8.6,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Argentina,Ángel Di María,"MF,FW",33,13,9,708,7.9,3,1,3,0,0,0,0,0.38,0.13,0.51,0.38,0.51,Matches
Argentina,Nicolás Tagliafico,DF,29,9,8,754,8.4,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Argentina,Gonzalo Montiel,DF,25,7,7,610,6.8,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Argentina,Nicolás González,"MF,FW",23,11,7,607,6.7,3,1,3,0,0,0,0,0.44,0.15,0.59,0.44,0.59,Matches
Argentina,Cristian Romero,DF,23,7,7,565,6.3,1,0,1,0,0,3,0,0.16,0,0.16,0.16,0.16,Matches
Argentina,Lucas Martínez Quarta,DF,25,8,6,515,5.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Argentina,Franco Armani,GK,35,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Argentina,Lucas Ocampos,"MF,FW",27,7,5,349,3.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Argentina,Germán Pezzella,DF,30,6,4,425,4.7,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Argentina,Guido Rodríguez,MF,27,8,3,339,3.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Argentina,Papu Gómez,MF,33,7,3,308,3.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Argentina,Joaquín Correa,"MF,FW",27,10,2,395,4.4,2,0,2,0,0,0,0,0.46,0,0.46,0.46,0.46,Matches
Argentina,Lisandro Martínez,DF,24,4,2,270,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Argentina,Exequiel Palacios,MF,23,10,2,248,2.8,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Argentina,Alexis Mac Allister,MF,23,2,2,127,1.4,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Argentina,Julián Álvarez,FW,22,6,1,160,1.8,1,0,1,0,0,0,0,0.56,0,0.56,0.56,0.56,Matches
Argentina,Juan Foyth,DF,24,4,1,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Argentina,Juan Musso,GK,27,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Argentina,Gerónimo Rulli,GK,29,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Argentina,Paulo Dybala,MF,28,3,1,78,0.9,0,1,0,0,0,1,0,0,1.15,1.15,0,1.15,Matches
Argentina,Ángel Correa,"FW,MF",26,6,0,136,1.5,1,0,1,0,0,0,0,0.66,0,0.66,0.66,0.66,Matches
Argentina,Agustín Marchesín,GK,33,1,0,51,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Argentina,Nicolás Domínguez,MF,23,4,0,42,0.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Argentina,Maximiliano Meza,"FW,MF",29,1,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Argentina,Eduardo Salvio,"FW,MF",31,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Argentina,Lucas Alario,FW,29,2,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Argentina,Facundo Medina,DF,22,2,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Argentina,Emi Buendía,"FW,MF",25,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Argentina,Lucas Boyé,FW,25,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Argentina,Squad Total,,28.5,17,187,"1,620",18,27,17,25,2,2,30,0,1.5,0.94,2.44,1.39,2.33,
Argentina,Opponent Total,,28.6,17,187,"1,620",18,8,3,5,3,5,47,1,0.44,0.17,0.61,0.28,0.44,
Australia,Martin Boyle,MF,28,1,1,120,1.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Australia,Ajdin Hrustic,MF,25,1,1,120,1.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Australia,Jackson Irvine,MF,28,1,1,120,1.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
