Country,Player,Age,MP,Starts,Minutes,fullgmsplayed,Gls,Ast,G_PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G_A_90,G_PK_90,G_A_PK_90
Argentina,Rodrigo De Paul,27,16,16,1272,14.10,1,3,1,0,0,2,0,0.07,0.21,0.28,0.07,0.28
Argentina,Nicolás Otamendi,33,15,15,1331,14.80,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
Argentina,Lionel Messi,34,15,14,1275,14.20,7,0,5,2,2,0,0,0.49,0.00,0.49,0.35,0.35
Argentina,Leandro Paredes,27,14,14,1133,12.60,1,2,1,0,0,4,0,0.08,0.16,0.24,0.08,0.24
Argentina,Lautaro Martínez,24,14,14,1049,11.70,7,3,7,0,0,0,0,0.60,0.26,0.86,0.60,0.86
Argentina,Emiliano Martínez,29,10,10,849,9.40,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Argentina,Nahuel Molina,23,10,9,820,9.10,0,1,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11
Argentina,Giovani Lo Celso,25,11,9,779,8.70,0,5,0,0,0,1,0,0.00,0.58,0.58,0.00,0.58
Argentina,Marcos Acuña,30,10,9,772,8.60,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Argentina,Ángel Di María,33,13,9,708,7.90,3,1,3,0,0,0,0,0.38,0.13,0.51,0.38,0.51
Argentina,Nicolás Tagliafico,29,9,8,754,8.40,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Argentina,Gonzalo Montiel,25,7,7,610,6.80,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Argentina,Nicolás González,23,11,7,607,6.70,3,1,3,0,0,0,0,0.44,0.15,0.59,0.44,0.59
Argentina,Cristian Romero,23,7,7,565,6.30,1,0,1,0,0,3,0,0.16,0.00,0.16,0.16,0.16
Argentina,Lucas Martínez Quarta,25,8,6,515,5.70,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Argentina,Franco Armani,35,5,5,450,5.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Argentina,Lucas Ocampos,27,7,5,349,3.90,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Argentina,Germán Pezzella,30,6,4,425,4.70,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Argentina,Guido Rodríguez,27,8,3,339,3.80,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Argentina,Papu Gómez,33,7,3,308,3.40,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Argentina,Joaquín Correa,27,10,2,395,4.40,2,0,2,0,0,0,0,0.46,0.00,0.46,0.46,0.46
Argentina,Lisandro Martínez,24,4,2,270,3.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Argentina,Exequiel Palacios,23,10,2,248,2.80,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Argentina,Alexis Mac Allister,23,2,2,127,1.40,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Argentina,Julián Álvarez,22,6,1,160,1.80,1,0,1,0,0,0,0,0.56,0.00,0.56,0.56,0.56
Argentina,Juan Foyth,24,4,1,126,1.40,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Argentina,Juan Musso,27,1,1,90,1.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Argentina,Gerónimo Rulli,29,1,1,90,1.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Argentina,Paulo Dybala,28,3,1,78,0.90,0,1,0,0,0,1,0,0.00,1.15,1.15,0.00,1.15
Argentina,Ángel Correa,26,6,0,136,1.50,1,0,1,0,0,0,0,0.66,0.00,0.66,0.66,0.66
Argentina,Agustín Marchesín,33,1,0,51,0.60,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Argentina,Nicolás Domínguez,23,4,0,42,0.50,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Argentina,Maximiliano Meza,29,1,0,33,0.40,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Argentina,Eduardo Salvio,31,1,0,25,0.30,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Argentina,Lucas Alario,29,2,0,23,0.30,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Argentina,Facundo Medina,22,2,0,12,0.10,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Argentina,Emi Buendía,25,1,0,11,0.10,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Argentina,Lucas Boyé,25,1,0,3,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Argentina,Squad Total,29,17,187,1620,18.00,27,17,25,2,2,30,0,1.50,0.94,2.44,1.39,2.33
Argentina,Opponent Total,29,17,187,1620,18.00,8,3,5,3,5,47,1,0.44,0.17,0.61,0.28,0.44
