Match,Squad1Key,Squad2Key,Group,Stage,Squad1,S1%,Squad1Seed,Squad2,S2%,Squad2Seed,S1_Prob,S1_wins,Simulation,MatchWinner
63,Knockout Round,Knockout Round,Finals,Knockout,Argentina,0.713176936529532,M61,United States,0.683675221341859,M62,0.534980388558867,0,6,United States
63,Knockout Round,Knockout Round,Finals,Knockout,Germany,0.819722782830755,M61,United States,0.683675221341859,M62,0.677816847790958,0,29,United States
63,Knockout Round,Knockout Round,Finals,Knockout,Netherlands,0.847292970427077,M61,United States,0.683675221341859,M62,0.719667270680257,0,55,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,England,0.828448299892353,M62,0.309179878000831,1,395,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Portugal,0.787342947869841,M62,0.368590204628086,1,418,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Germany,0.819722782830755,M62,0.322183152209042,1,502,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Australia,0.669404229689161,M62,0.516299672298341,1,520,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Iran,0.697029989208942,M62,0.484384806235004,1,600,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Argentina,0.713176936529532,M62,0.465019611441133,1,649,United States
63,Knockout Round,Knockout Round,Finals,Knockout,Denmark,0.778587101918141,M61,United States,0.683675221341859,M62,0.619337706365353,0,723,United States
63,Knockout Round,Knockout Round,Finals,Knockout,Spain,0.827036031955828,M61,United States,0.683675221341859,M62,0.688700593208113,0,954,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,South Korea,0.728385225275208,M62,0.446275263125678,1,1129,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Netherlands,0.847292970427077,M62,0.280332729319743,1,1216,United States
63,Knockout Round,Knockout Round,Finals,Knockout,Spain,0.827036031955828,M61,United States,0.683675221341859,M62,0.688700593208113,0,1269,United States
63,Knockout Round,Knockout Round,Finals,Knockout,Netherlands,0.847292970427077,M61,United States,0.683675221341859,M62,0.719667270680257,0,1283,United States
63,Knockout Round,Knockout Round,Finals,Knockout,Switzerland,0.683756379211115,M61,United States,0.683675221341859,M62,0.500093824774349,0,1304,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,England,0.828448299892353,M62,0.309179878000831,1,1432,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Senegal,0.768105259185267,M62,0.394859728982334,1,1570,United States
63,Knockout Round,Knockout Round,Finals,Knockout,Mexico,0.756756710226366,M61,United States,0.683675221341859,M62,0.590072758392116,0,1601,United States
63,Knockout Round,Knockout Round,Finals,Knockout,Netherlands,0.847292970427077,M61,United States,0.683675221341859,M62,0.719667270680257,0,1693,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Saudi Arabia,0.626644955423917,M62,0.56288111197931,1,1763,United States
63,Knockout Round,Knockout Round,Finals,Knockout,Spain,0.827036031955828,M61,United States,0.683675221341859,M62,0.688700593208113,0,1935,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,England,0.828448299892353,M62,0.309179878000831,1,1939,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Morocco,0.793195560991844,M62,0.360410552545608,1,2057,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Senegal,0.768105259185267,M62,0.394859728982334,1,2176,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,England,0.828448299892353,M62,0.309179878000831,1,2216,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,England,0.828448299892353,M62,0.309179878000831,1,2394,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Germany,0.819722782830755,M62,0.322183152209042,1,2435,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Portugal,0.787342947869841,M62,0.368590204628086,1,2563,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,France,0.780360381500851,M62,0.378233187547771,1,2826,United States
63,Knockout Round,Knockout Round,Finals,Knockout,Morocco,0.793195560991844,M61,United States,0.683675221341859,M62,0.639589447454392,0,2977,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,South Korea,0.728385225275208,M62,0.446275263125678,1,3108,United States
63,Knockout Round,Knockout Round,Finals,Knockout,Switzerland,0.683756379211115,M61,United States,0.683675221341859,M62,0.500093824774349,0,3217,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Ecuador,0.503238303432919,M62,0.680867234411387,1,3320,United States
63,Knockout Round,Knockout Round,Finals,Knockout,South Korea,0.728385225275208,M61,United States,0.683675221341859,M62,0.553724736874322,0,3555,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Portugal,0.787342947869841,M62,0.368590204628086,1,3783,United States
63,Knockout Round,Knockout Round,Finals,Knockout,Mexico,0.756756710226366,M61,United States,0.683675221341859,M62,0.590072758392116,0,3796,United States
63,Knockout Round,Knockout Round,Finals,Knockout,Spain,0.827036031955828,M61,United States,0.683675221341859,M62,0.688700593208113,0,3810,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Belgium,0.828474447696,M62,0.309140580767536,1,3846,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,England,0.828448299892353,M62,0.309179878000831,1,3875,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Morocco,0.793195560991844,M62,0.360410552545608,1,3879,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,England,0.828448299892353,M62,0.309179878000831,1,4032,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Netherlands,0.847292970427077,M62,0.280332729319743,1,4150,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Portugal,0.787342947869841,M62,0.368590204628086,1,4186,United States
63,Knockout Round,Knockout Round,Finals,Knockout,Mexico,0.756756710226366,M61,United States,0.683675221341859,M62,0.590072758392116,0,4194,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Belgium,0.828474447696,M62,0.309140580767536,1,4211,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Belgium,0.828474447696,M62,0.309140580767536,1,4469,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Japan,0.594646118598086,M62,0.595682540025106,1,4877,United States
63,Knockout Round,Knockout Round,Finals,Knockout,Spain,0.827036031955828,M61,United States,0.683675221341859,M62,0.688700593208113,0,4964,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Senegal,0.768105259185267,M62,0.394859728982334,1,4989,United States
63,Knockout Round,Knockout Round,Finals,Knockout,Morocco,0.793195560991844,M61,United States,0.683675221341859,M62,0.639589447454392,0,5013,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Brazil,0.815674445258193,M62,0.328142503828461,1,5128,United States
63,Knockout Round,Knockout Round,Finals,Knockout,Senegal,0.768105259185267,M61,United States,0.683675221341859,M62,0.605140271017666,0,5227,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Portugal,0.787342947869841,M62,0.368590204628086,1,5243,United States
63,Knockout Round,Knockout Round,Finals,Knockout,Argentina,0.713176936529532,M61,United States,0.683675221341859,M62,0.534980388558867,0,5246,United States
63,Knockout Round,Knockout Round,Finals,Knockout,Spain,0.827036031955828,M61,United States,0.683675221341859,M62,0.688700593208113,0,5291,United States
63,Knockout Round,Knockout Round,Finals,Knockout,Argentina,0.713176936529532,M61,United States,0.683675221341859,M62,0.534980388558867,0,5493,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Germany,0.819722782830755,M62,0.322183152209042,1,5525,United States
63,Knockout Round,Knockout Round,Finals,Knockout,Iran,0.697029989208942,M61,United States,0.683675221341859,M62,0.515615193764996,0,5712,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Mexico,0.756756710226366,M62,0.409927241607884,1,5732,United States
63,Knockout Round,Knockout Round,Finals,Knockout,Denmark,0.778587101918141,M61,United States,0.683675221341859,M62,0.619337706365353,0,5886,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Belgium,0.828474447696,M62,0.309140580767536,1,5896,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Denmark,0.778587101918141,M62,0.380662293634647,1,5904,United States
63,Knockout Round,Knockout Round,Finals,Knockout,Cameroon,0.715297881735711,M61,United States,0.683675221341859,M62,0.537564613904095,0,6001,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Switzerland,0.683756379211115,M62,0.499906175225651,1,6045,United States
63,Knockout Round,Knockout Round,Finals,Knockout,Germany,0.819722782830755,M61,United States,0.683675221341859,M62,0.677816847790958,0,6075,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Cameroon,0.715297881735711,M62,0.462435386095905,1,6157,United States
63,Knockout Round,Knockout Round,Finals,Knockout,Saudi Arabia,0.626644955423917,M61,United States,0.683675221341859,M62,0.43711888802069,0,6232,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,France,0.780360381500851,M62,0.378233187547771,1,6561,United States
63,Knockout Round,Knockout Round,Finals,Knockout,United States,0.683675221341859,M61,Portugal,0.787342947869841,M62,0.368590204628086,1,6665,United States
