Match,Squad1Key,Squad2Key,Group,Stage,Squad1,S1%,Squad1Seed,Squad2,S2%,Squad2Seed,S1_Prob,S1_wins,Simulation,MatchWinner
62,Knockout Round,Knockout Round,Semi-Finals,Knockout,Germany,0.819722782830755,M59,United States,0.683675221341859,M60,0.677816847790958,0,6,United States
61,Knockout Round,Knockout Round,Semi-Finals,Knockout,Brazil,0.815674445258193,M57,United States,0.683675221341859,M58,0.671857496171539,0,24,United States
62,Knockout Round,Knockout Round,Semi-Finals,Knockout,Brazil,0.815674445258193,M59,United States,0.683675221341859,M60,0.671857496171539,0,29,United States
62,Knockout Round,Knockout Round,Semi-Finals,Knockout,Cameroon,0.715297881735711,M59,United States,0.683675221341859,M60,0.537564613904095,0,55,United States
61,Knockout Round,Knockout Round,Semi-Finals,Knockout,Belgium,0.828474447696,M57,United States,0.683675221341859,M58,0.690859419232465,0,165,United States
61,Knockout Round,Knockout Round,Semi-Finals,Knockout,Brazil,0.815674445258193,M57,United States,0.683675221341859,M58,0.671857496171539,0,230,United States
61,Knockout Round,Knockout Round,Semi-Finals,Knockout,Spain,0.827036031955828,M57,United States,0.683675221341859,M58,0.688700593208113,0,238,United States
61,Knockout Round,Knockout Round,Semi-Finals,Knockout,Morocco,0.793195560991844,M57,United States,0.683675221341859,M58,0.639589447454392,0,270,United States
61,Knockout Round,Knockout Round,Semi-Finals,Knockout,Brazil,0.815674445258193,M57,United States,0.683675221341859,M58,0.671857496171539,0,316,United States
61,Knockout Round,Knockout Round,Semi-Finals,Knockout,Morocco,0.793195560991844,M57,United States,0.683675221341859,M58,0.639589447454392,0,357,United States
61,Knockout Round,Knockout Round,Semi-Finals,Knockout,Morocco,0.793195560991844,M57,United States,0.683675221341859,M58,0.639589447454392,0,395,United States
61,Knockout Round,Knockout Round,Semi-Finals,Knockout,Brazil,0.815674445258193,M57,United States,0.683675221341859,M58,0.671857496171539,0,418,United States
61,Knockout Round,Knockout Round,Semi-Finals,Knockout,Spain,0.827036031955828,M57,United States,0.683675221341859,M58,0.688700593208113,0,444,United States
61,Knockout Round,Knockout Round,Semi-Finals,Knockout,Spain,0.827036031955828,M57,United States,0.683675221341859,M58,0.688700593208113,0,460,United States
61,Knockout Round,Knockout Round,Semi-Finals,Knockout,South Korea,0.728385225275208,M57,United States,0.683675221341859,M58,0.553724736874322,0,495,United States
61,Knockout Round,Knockout Round,Semi-Finals,Knockout,Spain,0.827036031955828,M57,United States,0.683675221341859,M58,0.688700593208113,0,502,United States
61,Knockout Round,Knockout Round,Semi-Finals,Knockout,South Korea,0.728385225275208,M57,United States,0.683675221341859,M58,0.553724736874322,0,520,United States
61,Knockout Round,Knockout Round,Semi-Finals,Knockout,Spain,0.827036031955828,M57,United States,0.683675221341859,M58,0.688700593208113,0,548,United States
62,Knockout Round,Knockout Round,Semi-Finals,Knockout,Serbia,0.681550205564387,M59,United States,0.683675221341859,M60,0.497547912262363,0,578,United States
61,Knockout Round,Knockout Round,Semi-Finals,Knockout,Germany,0.819722782830755,M57,United States,0.683675221341859,M58,0.677816847790958,0,600,United States
61,Knockout Round,Knockout Round,Semi-Finals,Knockout,Brazil,0.815674445258193,M57,United States,0.683675221341859,M58,0.671857496171539,0,614,United States
61,Knockout Round,Knockout Round,Semi-Finals,Knockout,Belgium,0.828474447696,M57,United States,0.683675221341859,M58,0.690859419232465,0,649,United States
