Key,Year,Competition,Squad,O. Gls,O. Sh,O. SoT,O. SoT%,O. G/Sh,O. G/SoT,O. PKatt
2022-es La Liga-Alavés,2022,es La Liga,Alavés,1.71,13.4,4.16,30.9,0.12,0.37,0.24
2022-fr Ligue 1-Angers,2022,fr Ligue 1,Angers,1.37,11.2,3.95,35.1,0.11,0.31,0.13
2022-de Bundesliga-Arminia,2022,de Bundesliga,Arminia,1.5,15.4,5.18,33.5,0.08,0.25,0.21
2022-eng Premier League-Arsenal,2022,eng Premier League,Arsenal,1.24,11,3.71,33.7,0.1,0.3,0.16
2022-eng Premier League-Aston Villa,2022,eng Premier League,Aston Villa,1.37,12.5,3.82,30.6,0.1,0.33,0.16
2022-it Serie A-Atalanta,2022,it Serie A,Atalanta,1.18,10.2,3.53,34.6,0.1,0.3,0.16
2022-es La Liga-Athletic Club,2022,es La Liga,Athletic Club,0.92,11.5,3.32,28.8,0.07,0.25,0.08
2022-es La Liga-Atlético Madrid,2022,es La Liga,Atlético Madrid,1.08,9.18,2.53,27.5,0.1,0.35,0.21
2022-de Bundesliga-Augsburg,2022,de Bundesliga,Augsburg,1.59,14.1,4.47,31.8,0.1,0.32,0.15
2022-es La Liga-Barcelona,2022,es La Liga,Barcelona,1,9.37,3.26,34.8,0.1,0.29,0.08
2022-de Bundesliga-Bayern Munich,2022,de Bundesliga,Bayern Munich,1.06,9.38,3.29,35.1,0.11,0.3,0.06
2022-es La Liga-Betis,2022,es La Liga,Betis,1,11.3,3.34,29.7,0.08,0.28,0.08
2022-de Bundesliga-Bochum,2022,de Bundesliga,Bochum,1.41,13.9,4.91,35.4,0.09,0.26,0.24
2022-it Serie A-Bologna,2022,it Serie A,Bologna,1.39,14.1,4.63,32.9,0.08,0.26,0.24
2022-fr Ligue 1-Bordeaux,2022,fr Ligue 1,Bordeaux,2.32,13.6,4.87,35.9,0.16,0.44,0.24
2022-eng Premier League-Brentford,2022,eng Premier League,Brentford,1.42,13.1,4.55,34.9,0.1,0.28,0.13
2022-fr Ligue 1-Brest,2022,fr Ligue 1,Brest,1.45,13.1,4.45,33.9,0.1,0.3,0.11
2022-eng Premier League-Brighton,2022,eng Premier League,Brighton,1.16,12.5,3.82,30.5,0.09,0.28,0.11
2022-eng Premier League-Burnley,2022,eng Premier League,Burnley,1.34,15.8,4.53,28.6,0.08,0.27,0.13
2022-es La Liga-Cádiz,2022,es La Liga,Cádiz,1.34,12.3,4.18,34.1,0.09,0.25,0.34
2022-it Serie A-Cagliari,2022,it Serie A,Cagliari,1.76,14.6,4.79,32.9,0.11,0.33,0.26
2022-es La Liga-Celta Vigo,2022,es La Liga,Celta Vigo,1.08,10.5,3.37,32.2,0.09,0.29,0.21
2022-eng Premier League-Chelsea,2022,eng Premier League,Chelsea,0.84,8.79,2.84,32.3,0.08,0.24,0.16
2022-fr Ligue 1-Clermont Foot,2022,fr Ligue 1,Clermont Foot,1.74,11.6,4.21,36.4,0.14,0.38,0.13
2022-eng Premier League-Crystal Palace,2022,eng Premier League,Crystal Palace,1.16,11.7,3.71,31.8,0.09,0.29,0.11
2022-de Bundesliga-Dortmund,2022,de Bundesliga,Dortmund,1.47,10.8,3.76,34.8,0.12,0.34,0.18
2022-de Bundesliga-Eint Frankfurt,2022,de Bundesliga,Eint Frankfurt,1.41,12.8,4.79,37.6,0.1,0.27,0.12
2022-es La Liga-Elche,2022,es La Liga,Elche,1.37,13.6,4.37,32.2,0.09,0.27,0.26
2022-it Serie A-Empoli,2022,it Serie A,Empoli,1.68,17.4,5.5,31.6,0.09,0.28,0.26
2022-es La Liga-Espanyol,2022,es La Liga,Espanyol,1.37,13.3,4.26,32.1,0.1,0.3,0.13
2022-eng Premier League-Everton,2022,eng Premier League,Everton,1.61,13.7,4.84,35.3,0.11,0.32,0.05
2022-it Serie A-Fiorentina,2022,it Serie A,Fiorentina,1.29,9.26,3.11,33.5,0.13,0.39,0.13
2022-de Bundesliga-Freiburg,2022,de Bundesliga,Freiburg,1.32,14.1,4.47,31.6,0.09,0.28,0.06
2022-it Serie A-Genoa,2022,it Serie A,Genoa,1.53,14.1,4.68,33.2,0.1,0.3,0.13
2022-es La Liga-Getafe,2022,es La Liga,Getafe,1.05,10.8,3.42,31.8,0.09,0.29,0.11
2022-es La Liga-Granada,2022,es La Liga,Granada,1.55,14.8,4.84,32.7,0.09,0.28,0.24
2022-de Bundesliga-Greuther Fürth,2022,de Bundesliga,Greuther Fürth,2.26,14.8,5.35,36.1,0.14,0.39,0.18
2022-it Serie A-Hellas Verona,2022,it Serie A,Hellas Verona,1.5,12.5,4.11,32.9,0.11,0.35,0.11
2022-de Bundesliga-Hertha BSC,2022,de Bundesliga,Hertha BSC,2.09,13.4,4.82,35.9,0.14,0.38,0.24
2022-de Bundesliga-Hoffenheim,2022,de Bundesliga,Hoffenheim,1.74,12.4,4.74,38.2,0.14,0.35,0.12
2022-it Serie A-Inter,2022,it Serie A,Inter,0.82,10.5,3.26,31,0.07,0.22,0.11
2022-it Serie A-Juventus,2022,it Serie A,Juventus,0.95,11.7,3.11,26.6,0.07,0.27,0.18
2022-de Bundesliga-Köln,2022,de Bundesliga,Köln,1.38,12.8,4.44,34.7,0.11,0.31,0.03
2022-it Serie A-Lazio,2022,it Serie A,Lazio,1.5,12.4,3.76,30.4,0.11,0.36,0.16
2022-eng Premier League-Leeds United,2022,eng Premier League,Leeds United,2.05,15.1,5.76,38.1,0.13,0.33,0.13
2022-eng Premier League-Leicester City,2022,eng Premier League,Leicester City,1.53,14.6,4.76,32.6,0.09,0.28,0.24
2022-fr Ligue 1-Lens,2022,fr Ligue 1,Lens,1.26,10.8,3.58,33.3,0.11,0.32,0.13
2022-es La Liga-Levante,2022,es La Liga,Levante,2,13.4,5.16,38.4,0.14,0.36,0.16
2022-de Bundesliga-Leverkusen,2022,de Bundesliga,Leverkusen,1.35,13.4,4.74,35.3,0.1,0.27,0.12
2022-fr Ligue 1-Lille,2022,fr Ligue 1,Lille,1.21,11.7,3.95,33.6,0.09,0.27,0.16
2022-eng Premier League-Liverpool,2022,eng Premier League,Liverpool,0.66,7.95,2.76,34.8,0.08,0.24,0
2022-fr Ligue 1-Lorient,2022,fr Ligue 1,Lorient,1.58,12.2,3.82,31.4,0.12,0.38,0.16
2022-fr Ligue 1-Lyon,2022,fr Ligue 1,Lyon,1.26,12.1,4.39,36.3,0.09,0.25,0.21
2022-de Bundesliga-M'Gladbach,2022,de Bundesliga,M'Gladbach,1.76,14,5.24,37.3,0.12,0.32,0.15
2022-de Bundesliga-Mainz 05,2022,de Bundesliga,Mainz 05,1.29,11.2,3.5,31.2,0.1,0.33,0.18
2022-es La Liga-Mallorca,2022,es La Liga,Mallorca,1.55,12.2,3.76,30.9,0.11,0.37,0.21
2022-eng Premier League-Manchester City,2022,eng Premier League,Manchester City,0.68,6.29,2.24,35.6,0.1,0.29,0.03
2022-eng Premier League-Manchester Utd,2022,eng Premier League,Manchester Utd,1.42,13.3,4.66,34.9,0.1,0.29,0.13
2022-fr Ligue 1-Marseille,2022,fr Ligue 1,Marseille,0.97,8.66,2.82,32.5,0.1,0.31,0.11
2022-fr Ligue 1-Metz,2022,fr Ligue 1,Metz,1.76,14.8,4.55,30.8,0.11,0.36,0.13
2022-it Serie A-Milan,2022,it Serie A,Milan,0.76,10.6,3.21,30.3,0.06,0.2,0.13
2022-fr Ligue 1-Monaco,2022,fr Ligue 1,Monaco,0.97,10.8,3.55,32.8,0.07,0.21,0.24
2022-fr Ligue 1-Montpellier,2022,fr Ligue 1,Montpellier,1.58,15.7,5.42,34.4,0.09,0.27,0.16
2022-fr Ligue 1-Nantes,2022,fr Ligue 1,Nantes,1.24,12.4,3.95,31.8,0.09,0.29,0.18
2022-it Serie A-Napoli,2022,it Serie A,Napoli,0.79,11,3.53,32.1,0.07,0.22,0.03
2022-eng Premier League-Newcastle Utd,2022,eng Premier League,Newcastle Utd,1.58,13.9,4.26,30.7,0.1,0.34,0.16
2022-fr Ligue 1-Nice,2022,fr Ligue 1,Nice,0.95,11.3,3.76,33.3,0.07,0.22,0.13
2022-eng Premier League-Norwich City,2022,eng Premier League,Norwich City,2.16,16.4,5.58,34.1,0.12,0.34,0.32
2022-es La Liga-Osasuna,2022,es La Liga,Osasuna,1.29,11.6,3.68,31.8,0.1,0.32,0.18
2022-fr Ligue 1-Paris S-G,2022,fr Ligue 1,Paris S-G,0.92,10.8,3.66,33.9,0.08,0.23,0.08
2022-es La Liga-Rayo Vallecano,2022,es La Liga,Rayo Vallecano,1.29,10.8,4.03,37.2,0.1,0.27,0.24
2022-de Bundesliga-RB Leipzig,2022,de Bundesliga,RB Leipzig,1.06,10.3,3.26,31.6,0.09,0.3,0.09
2022-es La Liga-Real Madrid,2022,es La Liga,Real Madrid,0.82,11.3,3.24,28.5,0.06,0.23,0.13
2022-es La Liga-Real Sociedad,2022,es La Liga,Real Sociedad,0.97,11,3.21,29.3,0.08,0.26,0.16
2022-fr Ligue 1-Reims,2022,fr Ligue 1,Reims,1.16,13.4,4,29.7,0.08,0.26,0.18
2022-fr Ligue 1-Rennes,2022,fr Ligue 1,Rennes,1.03,9.29,2.55,27.5,0.1,0.35,0.16
2022-it Serie A-Roma,2022,it Serie A,Roma,1.08,9.79,3.71,37.9,0.1,0.26,0.16
2022-fr Ligue 1-Saint-Étienne,2022,fr Ligue 1,Saint-Étienne,1.92,12,4.76,39.8,0.14,0.36,0.21
