Key,Year,Competition,Squad,O. Age,O. Poss,MP
2022-es La Liga-Alavés,2022,es La Liga,Alavés,27.6,58.2,38
2022-fr Ligue 1-Angers,2022,fr Ligue 1,Angers,25.8,51.3,38
2022-de Bundesliga-Arminia,2022,de Bundesliga,Arminia,26.3,59.5,34
2022-eng Premier League-Arsenal,2022,eng Premier League,Arsenal,26.9,46.8,38
2022-eng Premier League-Aston Villa,2022,eng Premier League,Aston Villa,26.7,53.5,38
2022-it Serie A-Atalanta,2022,it Serie A,Atalanta,26.6,44.9,38
2022-es La Liga-Athletic Club,2022,es La Liga,Athletic Club,27.6,51.9,38
2022-es La Liga-Atlético Madrid,2022,es La Liga,Atlético Madrid,27.6,49.4,38
2022-de Bundesliga-Augsburg,2022,de Bundesliga,Augsburg,26.4,58.8,34
2022-es La Liga-Barcelona,2022,es La Liga,Barcelona,27.7,35.2,38
2022-de Bundesliga-Bayern Munich,2022,de Bundesliga,Bayern Munich,26.1,35.2,34
2022-es La Liga-Betis,2022,es La Liga,Betis,27.4,45.9,38
2022-de Bundesliga-Bochum,2022,de Bundesliga,Bochum,26.2,55.5,34
2022-it Serie A-Bologna,2022,it Serie A,Bologna,26.5,49.3,38
2022-fr Ligue 1-Bordeaux,2022,fr Ligue 1,Bordeaux,26,52.7,38
2022-eng Premier League-Brentford,2022,eng Premier League,Brentford,26.8,55.5,38
2022-fr Ligue 1-Brest,2022,fr Ligue 1,Brest,25.9,56.2,38
2022-eng Premier League-Brighton,2022,eng Premier League,Brighton,26.9,45.3,38
2022-eng Premier League-Burnley,2022,eng Premier League,Burnley,26.7,60.2,38
2022-es La Liga-Cádiz,2022,es La Liga,Cádiz,27.6,59.1,38
2022-it Serie A-Cagliari,2022,it Serie A,Cagliari,26.7,55.6,38
2022-es La Liga-Celta Vigo,2022,es La Liga,Celta Vigo,27.4,44.4,38
2022-eng Premier League-Chelsea,2022,eng Premier League,Chelsea,26.7,37.7,38
2022-fr Ligue 1-Clermont Foot,2022,fr Ligue 1,Clermont Foot,25.7,50,38
2022-eng Premier League-Crystal Palace,2022,eng Premier League,Crystal Palace,26.8,49.1,38
2022-de Bundesliga-Dortmund,2022,de Bundesliga,Dortmund,26,40.4,34
2022-de Bundesliga-Eint Frankfurt,2022,de Bundesliga,Eint Frankfurt,26.1,50.4,34
2022-es La Liga-Elche,2022,es La Liga,Elche,27.4,51.6,38
2022-it Serie A-Empoli,2022,it Serie A,Empoli,27,52.9,38
2022-es La Liga-Espanyol,2022,es La Liga,Espanyol,27.5,52.9,38
2022-eng Premier League-Everton,2022,eng Premier League,Everton,26.8,60.3,38
2022-it Serie A-Fiorentina,2022,it Serie A,Fiorentina,26.7,41.8,38
2022-de Bundesliga-Freiburg,2022,de Bundesliga,Freiburg,26.2,50.8,34
2022-it Serie A-Genoa,2022,it Serie A,Genoa,26.7,56.1,38
2022-es La Liga-Getafe,2022,es La Liga,Getafe,27.8,58.8,38
2022-es La Liga-Granada,2022,es La Liga,Granada,27.6,55.4,38
2022-de Bundesliga-Greuther Fürth,2022,de Bundesliga,Greuther Fürth,26.3,56.6,34
2022-it Serie A-Hellas Verona,2022,it Serie A,Hellas Verona,26.8,49.4,38
2022-de Bundesliga-Hertha BSC,2022,de Bundesliga,Hertha BSC,26.2,56.5,34
2022-de Bundesliga-Hoffenheim,2022,de Bundesliga,Hoffenheim,26.3,46.4,34
2022-it Serie A-Inter,2022,it Serie A,Inter,26.7,43.4,38
2022-it Serie A-Juventus,2022,it Serie A,Juventus,26.8,48.3,38
2022-de Bundesliga-Köln,2022,de Bundesliga,Köln,26,44.9,34
2022-it Serie A-Lazio,2022,it Serie A,Lazio,26.5,44.4,38
2022-eng Premier League-Leeds United,2022,eng Premier League,Leeds United,26.9,47.5,38
2022-eng Premier League-Leicester City,2022,eng Premier League,Leicester City,26.8,47.9,38
2022-fr Ligue 1-Lens,2022,fr Ligue 1,Lens,25.9,49.2,38
2022-es La Liga-Levante,2022,es La Liga,Levante,27.4,53.1,38
2022-de Bundesliga-Leverkusen,2022,de Bundesliga,Leverkusen,26.3,46.1,34
2022-fr Ligue 1-Lille,2022,fr Ligue 1,Lille,25.8,49.2,38
2022-eng Premier League-Liverpool,2022,eng Premier League,Liverpool,26.7,36.7,38
2022-fr Ligue 1-Lorient,2022,fr Ligue 1,Lorient,26,55.7,38
2022-fr Ligue 1-Lyon,2022,fr Ligue 1,Lyon,26,41.2,38
2022-de Bundesliga-M'Gladbach,2022,de Bundesliga,M'Gladbach,26.2,45.6,34
2022-de Bundesliga-Mainz 05,2022,de Bundesliga,Mainz 05,26.2,53.7,34
2022-es La Liga-Mallorca,2022,es La Liga,Mallorca,27.7,54.9,38
2022-eng Premier League-Manchester City,2022,eng Premier League,Manchester City,26.9,31.5,38
2022-eng Premier League-Manchester Utd,2022,eng Premier League,Manchester Utd,27,47.1,38
2022-fr Ligue 1-Marseille,2022,fr Ligue 1,Marseille,25.8,38,38
2022-fr Ligue 1-Metz,2022,fr Ligue 1,Metz,26.1,57.2,38
2022-it Serie A-Milan,2022,it Serie A,Milan,27,45.8,38
2022-fr Ligue 1-Monaco,2022,fr Ligue 1,Monaco,25.9,45.8,38
2022-fr Ligue 1-Montpellier,2022,fr Ligue 1,Montpellier,26,51.9,38
2022-fr Ligue 1-Nantes,2022,fr Ligue 1,Nantes,25.8,56.3,38
2022-it Serie A-Napoli,2022,it Serie A,Napoli,26.6,41.5,38
2022-eng Premier League-Newcastle Utd,2022,eng Premier League,Newcastle Utd,26.8,60.1,38
2022-fr Ligue 1-Nice,2022,fr Ligue 1,Nice,26,48.4,38
2022-eng Premier League-Norwich City,2022,eng Premier League,Norwich City,26.8,57.5,38
2022-es La Liga-Osasuna,2022,es La Liga,Osasuna,27.6,53.3,38
2022-fr Ligue 1-Paris S-G,2022,fr Ligue 1,Paris S-G,25.7,36.6,38
2022-es La Liga-Rayo Vallecano,2022,es La Liga,Rayo Vallecano,27.6,50.1,38
2022-de Bundesliga-RB Leipzig,2022,de Bundesliga,RB Leipzig,26,43.4,34
