Key,Year,Competition,Squad,CrdY,CrdR,Fld,Int,TklW
2022-es La Liga-Alavés,2022,es La Liga,Alavés,2.45,0.11,13.5,14.3,9.24
2022-fr Ligue 1-Angers,2022,fr Ligue 1,Angers,1.84,0.11,13,16.1,11.1
2022-de Bundesliga-Arminia,2022,de Bundesliga,Arminia,1.62,0.06,9.91,17.5,11.1
2022-eng Premier League-Arsenal,2022,eng Premier League,Arsenal,1.76,0.11,11.5,12.5,9.21
2022-eng Premier League-Aston Villa,2022,eng Premier League,Aston Villa,2.13,0.05,15.6,15.4,10.5
2022-it Serie A-Atalanta,2022,it Serie A,Atalanta,2.29,0.05,13.4,14.7,11.2
2022-es La Liga-Athletic Club,2022,es La Liga,Athletic Club,2.37,0.11,14.9,13.1,9.79
2022-es La Liga-Atlético Madrid,2022,es La Liga,Atlético Madrid,2.92,0.18,16.1,13.1,10.4
2022-de Bundesliga-Augsburg,2022,de Bundesliga,Augsburg,2.18,0,11.6,17.8,11
2022-es La Liga-Barcelona,2022,es La Liga,Barcelona,2.55,0.13,16.4,12.2,10.9
2022-de Bundesliga-Bayern Munich,2022,de Bundesliga,Bayern Munich,1.06,0.06,12.7,16,11.5
2022-es La Liga-Betis,2022,es La Liga,Betis,2.29,0.16,14.8,13.4,11.3
2022-de Bundesliga-Bochum,2022,de Bundesliga,Bochum,1.62,0.06,12.4,20,12.4
2022-it Serie A-Bologna,2022,it Serie A,Bologna,2.42,0.18,14.2,13.9,9.11
2022-fr Ligue 1-Bordeaux,2022,fr Ligue 1,Bordeaux,2.39,0.13,11.2,18.1,12.2
2022-eng Premier League-Brentford,2022,eng Premier League,Brentford,1.71,0.08,11.3,15.5,10.5
2022-fr Ligue 1-Brest,2022,fr Ligue 1,Brest,1.55,0.05,12.2,18.3,12.3
2022-eng Premier League-Brighton,2022,eng Premier League,Brighton,1.89,0.05,11.7,14.7,11.9
2022-eng Premier League-Burnley,2022,eng Premier League,Burnley,1.79,0.05,10.5,16.2,9.5
2022-es La Liga-Cádiz,2022,es La Liga,Cádiz,2.76,0.08,13.3,15.7,12
2022-it Serie A-Cagliari,2022,it Serie A,Cagliari,2.53,0.13,14.4,16.3,9.61
2022-es La Liga-Celta Vigo,2022,es La Liga,Celta Vigo,2.29,0.08,14.3,15,13
2022-eng Premier League-Chelsea,2022,eng Premier League,Chelsea,1.66,0.03,13.3,14.7,10.6
2022-fr Ligue 1-Clermont Foot,2022,fr Ligue 1,Clermont Foot,1.71,0.21,13.4,15.2,12.2
2022-eng Premier League-Crystal Palace,2022,eng Premier League,Crystal Palace,1.82,0.03,14.9,14.8,10.8
2022-de Bundesliga-Dortmund,2022,de Bundesliga,Dortmund,1.85,0.03,13.1,15.1,11.9
2022-de Bundesliga-Eint Frankfurt,2022,de Bundesliga,Eint Frankfurt,1.79,0.03,9.79,16.5,12.1
2022-es La Liga-Elche,2022,es La Liga,Elche,2.74,0.16,13.9,13.7,9.13
2022-it Serie A-Empoli,2022,it Serie A,Empoli,2.29,0.13,13.7,14.3,11.2
2022-es La Liga-Espanyol,2022,es La Liga,Espanyol,2.61,0.18,15.8,13.8,10
2022-eng Premier League-Everton,2022,eng Premier League,Everton,2.16,0.16,12.2,15.8,12.6
2022-it Serie A-Fiorentina,2022,it Serie A,Fiorentina,2.34,0.21,16.8,12.6,8.79
2022-de Bundesliga-Freiburg,2022,de Bundesliga,Freiburg,1,0,12.4,15.1,10
2022-it Serie A-Genoa,2022,it Serie A,Genoa,2.42,0.08,14.4,17.3,12.9
2022-es La Liga-Getafe,2022,es La Liga,Getafe,3.18,0.21,14.1,15.9,10.2
2022-es La Liga-Granada,2022,es La Liga,Granada,2.76,0.11,13.8,12.9,10.6
2022-de Bundesliga-Greuther Fürth,2022,de Bundesliga,Greuther Fürth,1.79,0,14.2,18.1,10.9
2022-it Serie A-Hellas Verona,2022,it Serie A,Hellas Verona,2.63,0.18,12.3,14.7,10.1
2022-de Bundesliga-Hertha BSC,2022,de Bundesliga,Hertha BSC,1.82,0.06,14.1,15.8,11
2022-de Bundesliga-Hoffenheim,2022,de Bundesliga,Hoffenheim,2.21,0,11.4,13.4,10.7
2022-it Serie A-Inter,2022,it Serie A,Inter,1.87,0,12.6,12.2,10.6
2022-it Serie A-Juventus,2022,it Serie A,Juventus,2.03,0.05,14.6,13.4,10
2022-de Bundesliga-Köln,2022,de Bundesliga,Köln,1.97,0.03,15,18.3,11.8
2022-it Serie A-Lazio,2022,it Serie A,Lazio,2.32,0.13,13.3,13,9.16
2022-eng Premier League-Leeds United,2022,eng Premier League,Leeds United,2.66,0.08,11.8,16.5,12.4
2022-eng Premier League-Leicester City,2022,eng Premier League,Leicester City,1.45,0.03,12.9,14,11.6
2022-fr Ligue 1-Lens,2022,fr Ligue 1,Lens,1.92,0.18,10.9,17.5,10.9
2022-es La Liga-Levante,2022,es La Liga,Levante,2.87,0.16,11.8,13.3,9.97
2022-de Bundesliga-Leverkusen,2022,de Bundesliga,Leverkusen,1.94,0.06,11.4,18.1,10.6
2022-fr Ligue 1-Lille,2022,fr Ligue 1,Lille,2.58,0.16,12.8,14.1,11.9
2022-eng Premier League-Liverpool,2022,eng Premier League,Liverpool,1.32,0.03,10.4,14.5,9.63
2022-fr Ligue 1-Lorient,2022,fr Ligue 1,Lorient,1.82,0.11,11.8,17.1,12.8
2022-fr Ligue 1-Lyon,2022,fr Ligue 1,Lyon,1.71,0.16,12.3,16.1,12.7
2022-de Bundesliga-M'Gladbach,2022,de Bundesliga,M'Gladbach,1.97,0.03,16,16.4,11.9
2022-de Bundesliga-Mainz 05,2022,de Bundesliga,Mainz 05,1.82,0.12,12.6,17.4,12.3
2022-es La Liga-Mallorca,2022,es La Liga,Mallorca,3,0.18,16.3,13.9,11.3
2022-eng Premier League-Manchester City,2022,eng Premier League,Manchester City,1.11,0.03,11.6,11.4,8.55
2022-eng Premier League-Manchester Utd,2022,eng Premier League,Manchester Utd,2.03,0.05,10.9,14.9,10.2
2022-fr Ligue 1-Marseille,2022,fr Ligue 1,Marseille,1.61,0.08,13.7,13.4,10.4
2022-fr Ligue 1-Metz,2022,fr Ligue 1,Metz,2.47,0.24,12.1,19.2,13.4
2022-it Serie A-Milan,2022,it Serie A,Milan,2,0.08,15.2,15.9,12.9
2022-fr Ligue 1-Monaco,2022,fr Ligue 1,Monaco,2.24,0.11,11.9,17.5,13.3
2022-fr Ligue 1-Montpellier,2022,fr Ligue 1,Montpellier,2.03,0.21,13.2,16,10.7
2022-fr Ligue 1-Nantes,2022,fr Ligue 1,Nantes,2.11,0.11,10.5,15.9,12.1
2022-it Serie A-Napoli,2022,it Serie A,Napoli,1.66,0.05,14.2,12.2,10.6
2022-eng Premier League-Newcastle Utd,2022,eng Premier League,Newcastle Utd,2.13,0.05,11.8,15.7,10.7
2022-fr Ligue 1-Nice,2022,fr Ligue 1,Nice,2.03,0.16,10.7,16,11
2022-eng Premier League-Norwich City,2022,eng Premier League,Norwich City,1.5,0.03,13,16.7,10.3
2022-es La Liga-Osasuna,2022,es La Liga,Osasuna,2.21,0.05,11.7,14.6,9.82
2022-fr Ligue 1-Paris S-G,2022,fr Ligue 1,Paris S-G,2.08,0.11,12.3,12.8,10.7
2022-es La Liga-Rayo Vallecano,2022,es La Liga,Rayo Vallecano,2.66,0.08,15.6,15.5,11
2022-de Bundesliga-RB Leipzig,2022,de Bundesliga,RB Leipzig,1.44,0,14.2,15.6,9.62
2022-es La Liga-Real Madrid,2022,es La Liga,Real Madrid,2,0,14.7,13.7,10.6
2022-es La Liga-Real Sociedad,2022,es La Liga,Real Sociedad,2.03,0.11,14.5,12.6,10.6
2022-fr Ligue 1-Reims,2022,fr Ligue 1,Reims,1.79,0.18,12.7,18.9,11.4
2022-fr Ligue 1-Rennes,2022,fr Ligue 1,Rennes,1.47,0.05,11.4,13.1,8.76
2022-it Serie A-Roma,2022,it Serie A,Roma,2.92,0.21,13.6,14.9,11.3
2022-fr Ligue 1-Saint-Étienne,2022,fr Ligue 1,Saint-Étienne,2.13,0.13,12.4,16,12.7
2022-it Serie A-Salernitana,2022,it Serie A,Salernitana,2.47,0.13,15.3,15.6,9.66
2022-it Serie A-Sampdoria,2022,it Serie A,Sampdoria,2.47,0.11,14.4,16.2,9.79
2022-it Serie A-Sassuolo,2022,it Serie A,Sassuolo,2.42,0.11,14.2,13.7,8.45
2022-es La Liga-Sevilla,2022,es La Liga,Sevilla,2.55,0.11,13.8,12.4,10.4
2022-eng Premier League-Southampton,2022,eng Premier League,Southampton,1.71,0.05,11.7,17.8,10.6
2022-it Serie A-Spezia,2022,it Serie A,Spezia,2.32,0.11,12.5,15.4,10.1
2022-fr Ligue 1-Strasbourg,2022,fr Ligue 1,Strasbourg,1.89,0.08,11.6,16.3,12
2022-de Bundesliga-Stuttgart,2022,de Bundesliga,Stuttgart,1.88,0.06,14.1,16.1,10.2
2022-it Serie A-Torino,2022,it Serie A,Torino,2.34,0.08,13.6,15.4,8.05
2022-eng Premier League-Tottenham,2022,eng Premier League,Tottenham,1.82,0.03,13.6,14.5,9.76
2022-fr Ligue 1-Troyes,2022,fr Ligue 1,Troyes,1.97,0.16,13.4,16.8,11.1
2022-it Serie A-Udinese,2022,it Serie A,Udinese,2.5,0.16,13,15,12
2022-de Bundesliga-Union Berlin,2022,de Bundesliga,Union Berlin,1.82,0.03,10.8,15.7,10
2022-es La Liga-Valencia,2022,es La Liga,Valencia,3.53,0.21,16.8,15.4,11.1
2022-it Serie A-Venezia,2022,it Serie A,Venezia,2.89,0.24,13.7,16.2,10.1
2022-es La Liga-Villarreal,2022,es La Liga,Villarreal,2.13,0.03,14.3,13.2,8.89
2022-eng Premier League-Watford,2022,eng Premier League,Watford,1.66,0.08,10.6,17.8,11.1
2022-eng Premier League-West Ham,2022,eng Premier League,West Ham,1.37,0.08,9.26,14.2,9.24
2022-de Bundesliga-Wolfsburg,2022,de Bundesliga,Wolfsburg,1.79,0.09,14,17.2,10.3
2022-eng Premier League-Wolves,2022,eng Premier League,Wolves,1.63,0.05,10.6,14.8,12.2
2021-es La Liga-Alavés,2021,es La Liga,Alavés,2.53,0.21,13.9,11.3,9.45
2021-fr Ligue 1-Angers,2021,fr Ligue 1,Angers,1.71,0.05,14.1,11.5,12.1
2021-de Bundesliga-Arminia,2021,de Bundesliga,Arminia,1.53,0.03,13,8.97,11.6
2021-eng Premier League-Arsenal,2021,eng Premier League,Arsenal,1.29,0.13,12.7,8.87,8.29
2021-eng Premier League-Aston Villa,2021,eng Premier League,Aston Villa,1.87,0.11,17.2,9.92,9.42
2021-it Serie A-Atalanta,2021,it Serie A,Atalanta,1.76,0.08,14.5,13.2,11.2
2021-es La Liga-Athletic Club,2021,es La Liga,Athletic Club,2.16,0.08,14.3,9.16,9.03
2021-es La Liga-Atlético Madrid,2021,es La Liga,Atlético Madrid,2.63,0,13.5,10.4,11.8
2021-de Bundesliga-Augsburg,2021,de Bundesliga,Augsburg,2.06,0.12,13.1,12.9,9.94
2021-es La Liga-Barcelona,2021,es La Liga,Barcelona,1.89,0.05,16.1,9.32,9.24
2021-de Bundesliga-Bayern Munich,2021,de Bundesliga,Bayern Munich,1.29,0.09,12.6,12.2,11.1
2021-it Serie A-Benevento,2021,it Serie A,Benevento,2.5,0.13,17.1,10.9,9.55
2021-es La Liga-Betis,2021,es La Liga,Betis,2.45,0.21,14.9,11.4,9.95
2021-it Serie A-Bologna,2021,it Serie A,Bologna,2.16,0.11,14,11.7,8.63
2021-fr Ligue 1-Bordeaux,2021,fr Ligue 1,Bordeaux,2.05,0.11,13.4,11.5,10.9
2021-fr Ligue 1-Brest,2021,fr Ligue 1,Brest,1.63,0.11,12.3,9.79,11.5
2021-eng Premier League-Brighton,2021,eng Premier League,Brighton,1.29,0.16,11.2,10.4,10.9
2021-eng Premier League-Burnley,2021,eng Premier League,Burnley,1.26,0,12.1,10.5,8.42
2021-es La Liga-Cádiz,2021,es La Liga,Cádiz,2.13,0.08,14.1,10.8,10.1
2021-it Serie A-Cagliari,2021,it Serie A,Cagliari,2.03,0.08,14,9.97,9.74
2021-es La Liga-Celta Vigo,2021,es La Liga,Celta Vigo,2.87,0.13,14.9,9.87,11.1
2021-eng Premier League-Chelsea,2021,eng Premier League,Chelsea,1.34,0.08,12.2,11.7,10.9
2021-it Serie A-Crotone,2021,it Serie A,Crotone,2.34,0.11,13.9,9.39,9.84
2021-eng Premier League-Crystal Palace,2021,eng Premier League,Crystal Palace,1.47,0.05,13.4,12.1,10.2
2021-fr Ligue 1-Dijon,2021,fr Ligue 1,Dijon,2,0.13,11.8,13.4,11.6
2021-de Bundesliga-Dortmund,2021,de Bundesliga,Dortmund,1.29,0.03,12.8,11.8,12.1
2021-es La Liga-Eibar,2021,es La Liga,Eibar,1.87,0.08,11.5,10.1,9.55
2021-de Bundesliga-Eint Frankfurt,2021,de Bundesliga,Eint Frankfurt,2.41,0.03,11.8,12.5,12
2021-es La Liga-Elche,2021,es La Liga,Elche,2.61,0.08,13.6,10.2,10.4
2021-eng Premier League-Everton,2021,eng Premier League,Everton,1.55,0.05,12.4,10.5,11.2
