Key,Year,Competition,Squad,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,PKatt
2022-es La Liga-Alavés,2022,es La Liga,Alavés,0.76,10,2.89,28.9,0.06,0.21,0.18
2022-fr Ligue 1-Angers,2022,fr Ligue 1,Angers,1.08,10.2,3.21,31.4,0.08,0.26,0.24
2022-de Bundesliga-Arminia,2022,de Bundesliga,Arminia,0.76,10.7,3.26,30.6,0.07,0.22,0.06
2022-eng Premier League-Arsenal,2022,eng Premier League,Arsenal,1.58,15.3,4.87,31.9,0.09,0.3,0.21
2022-eng Premier League-Aston Villa,2022,eng Premier League,Aston Villa,1.32,12.1,4.18,34.5,0.1,0.3,0.08
2022-it Serie A-Atalanta,2022,it Serie A,Atalanta,1.63,15.7,4.42,28.1,0.1,0.34,0.16
2022-es La Liga-Athletic Club,2022,es La Liga,Athletic Club,1.05,12.2,3.92,32.2,0.08,0.25,0.18
2022-es La Liga-Atlético Madrid,2022,es La Liga,Atlético Madrid,1.66,12.1,3.95,32.7,0.13,0.39,0.13
2022-de Bundesliga-Augsburg,2022,de Bundesliga,Augsburg,1.15,10.7,3.41,31.9,0.09,0.29,0.15
2022-es La Liga-Barcelona,2022,es La Liga,Barcelona,1.79,13.7,4.68,34.2,0.12,0.35,0.18
2022-de Bundesliga-Bayern Munich,2022,de Bundesliga,Bayern Munich,2.71,19.8,7.47,37.7,0.13,0.34,0.15
2022-es La Liga-Betis,2022,es La Liga,Betis,1.61,13.5,4.76,35.3,0.11,0.3,0.16
2022-de Bundesliga-Bochum,2022,de Bundesliga,Bochum,1.09,12.1,4.12,34.1,0.08,0.24,0.18
2022-it Serie A-Bologna,2022,it Serie A,Bologna,1.13,11.6,3.74,32.1,0.09,0.27,0.13
2022-fr Ligue 1-Bordeaux,2022,fr Ligue 1,Bordeaux,1.32,11.7,3.89,33.2,0.11,0.32,0.11
2022-eng Premier League-Brentford,2022,eng Premier League,Brentford,1.21,11.6,3.66,31.5,0.09,0.29,0.16
2022-fr Ligue 1-Brest,2022,fr Ligue 1,Brest,1.26,10.6,3.66,34.6,0.1,0.29,0.21
2022-eng Premier League-Brighton,2022,eng Premier League,Brighton,1.05,12.7,3.68,29,0.07,0.26,0.18
2022-eng Premier League-Burnley,2022,eng Premier League,Burnley,0.84,10.7,3.08,28.8,0.08,0.26,0.05
2022-es La Liga-Cádiz,2022,es La Liga,Cádiz,0.92,10.8,3.16,29.3,0.08,0.27,0.16
2022-it Serie A-Cagliari,2022,it Serie A,Cagliari,0.89,11,2.95,26.7,0.07,0.28,0.11
2022-es La Liga-Celta Vigo,2022,es La Liga,Celta Vigo,1.13,10.7,3.55,33.2,0.1,0.3,0.16
2022-eng Premier League-Chelsea,2022,eng Premier League,Chelsea,1.97,15.4,5.24,34,0.11,0.34,0.24
2022-fr Ligue 1-Clermont Foot,2022,fr Ligue 1,Clermont Foot,0.95,11.5,3.47,30.3,0.08,0.26,0.08
2022-eng Premier League-Crystal Palace,2022,eng Premier League,Crystal Palace,1.32,10.6,3.71,34.9,0.11,0.31,0.21
2022-de Bundesliga-Dortmund,2022,de Bundesliga,Dortmund,2.38,13,4.85,37.3,0.16,0.42,0.32
