Key,Year,Competition,Squad,Age,Poss
2022-es La Liga-Alavés,2022,es La Liga,Alavés,27.9,41.8
2022-fr Ligue 1-Angers,2022,fr Ligue 1,Angers,27.4,48.7
2022-de Bundesliga-Arminia,2022,de Bundesliga,Arminia,25.8,40.5
2022-eng Premier League-Arsenal,2022,eng Premier League,Arsenal,24.4,53.2
2022-eng Premier League-Aston Villa,2022,eng Premier League,Aston Villa,26.1,46.5
2022-it Serie A-Atalanta,2022,it Serie A,Atalanta,27.5,55.1
2022-es La Liga-Athletic Club,2022,es La Liga,Athletic Club,26.9,48.1
2022-es La Liga-Atlético Madrid,2022,es La Liga,Atlético Madrid,28.1,50.6
2022-de Bundesliga-Augsburg,2022,de Bundesliga,Augsburg,26.6,41.2
2022-es La Liga-Barcelona,2022,es La Liga,Barcelona,26.2,64.8
2022-de Bundesliga-Bayern Munich,2022,de Bundesliga,Bayern Munich,26.8,64.8
2022-es La Liga-Betis,2022,es La Liga,Betis,28.9,54.1
2022-de Bundesliga-Bochum,2022,de Bundesliga,Bochum,28,44.5
2022-it Serie A-Bologna,2022,it Serie A,Bologna,26.6,50.7
2022-fr Ligue 1-Bordeaux,2022,fr Ligue 1,Bordeaux,25.7,47.3
2022-eng Premier League-Brentford,2022,eng Premier League,Brentford,25.4,44.5
2022-fr Ligue 1-Brest,2022,fr Ligue 1,Brest,25.4,43.8
2022-eng Premier League-Brighton,2022,eng Premier League,Brighton,26.2,54.7
2022-eng Premier League-Burnley,2022,eng Premier League,Burnley,28.5,39.8
2022-es La Liga-Cádiz,2022,es La Liga,Cádiz,28.5,40.9
2022-it Serie A-Cagliari,2022,it Serie A,Cagliari,26.5,44.4
2022-es La Liga-Celta Vigo,2022,es La Liga,Celta Vigo,28.4,55.6
2022-eng Premier League-Chelsea,2022,eng Premier League,Chelsea,27.4,62.3
2022-fr Ligue 1-Clermont Foot,2022,fr Ligue 1,Clermont Foot,26.9,50
2022-eng Premier League-Crystal Palace,2022,eng Premier League,Crystal Palace,27.1,50.9
2022-de Bundesliga-Dortmund,2022,de Bundesliga,Dortmund,25.9,59.6
2022-de Bundesliga-Eint Frankfurt,2022,de Bundesliga,Eint Frankfurt,26.2,49.6
2022-es La Liga-Elche,2022,es La Liga,Elche,29.1,48.4
2022-it Serie A-Empoli,2022,it Serie A,Empoli,24.5,47.1
2022-es La Liga-Espanyol,2022,es La Liga,Espanyol,27.6,47.1
2022-eng Premier League-Everton,2022,eng Premier League,Everton,26.7,39.7
2022-it Serie A-Fiorentina,2022,it Serie A,Fiorentina,26.4,58.2
2022-de Bundesliga-Freiburg,2022,de Bundesliga,Freiburg,26.5,49.2
