Key,Squad,O. Poss,O. Gls,O. Sh,O. SoT,O. SoT%,O. PKatt,O. CrdY,O. CrdR,O. Int,CrdY,Confederation_AFC,Confederation_CAF,Confederation_CONCACAF,Confederation_CONMEBOL,Confederation_UEFA
2019-AFC Asian Cup-Australia,Australia,34,0.75,7.74,3.02,39,0.19,1.32,0,9.43,0.75,1,0,0,0,0
2018-World Cup-Australia,Australia,48.3,1.33,8.33,3.67,44,0.33,1.67,0,7.67,2.33,1,0,0,0,0
2019-AFC Asian Cup-Bahrain,Bahrain,53.8,0.93,9.53,1.63,17.1,0.23,1.4,0,11.2,0.47,1,0,0,0,0
2019-AFC Asian Cup-China PR,China PR,49.4,1.4,12,4.2,35,0.2,1.4,0,8.8,1,1,0,0,0,0
2019-AFC Asian Cup-India,India,63.3,1.33,15,3.67,24.4,0.33,1.33,0,11.3,0.67,1,0,0,0,0
2019-AFC Asian Cup-Iran,Iran,43,0.5,5.67,2,35.3,0.33,2.17,0,9.5,0.83,1,0,0,0,0
2018-World Cup-Iran,Iran,71,0.67,15.3,3,19.6,0.33,1.67,0,7.33,2.33,1,0,0,0,0
2019-AFC Asian Cup-Iraq,Iraq,45,0.5,8.75,2.75,31.4,0,2,0,10.8,1,1,0,0,0,0
2019-AFC Asian Cup-Japan,Japan,45.3,0.86,10.3,2.57,25,0.29,2.14,0,9.14,0.29,1,0,0,0,0
2018-World Cup-Japan,Japan,47,1.75,16,4.75,29.7,0,1.25,0.25,8.25,1,1,0,0,0,0
2019-Copa America-Japan,Japan,54,2.33,20,6.67,33.3,0.33,1.33,0,13,1.67,1,0,0,0,0
2019-AFC Asian Cup-Jordan,Jordan,58.8,0.23,13.5,5.12,37.9,0,1.4,0,10,0.93,1,0,0,0,0
2019-AFC Asian Cup-Korea DPR,Korea DPR,67.3,4.67,17.3,7.67,44.2,0.33,1.33,0,9.67,4.33,1,0,0,0,0
2019-AFC Asian Cup-South Korea,South Korea,31,0.38,9.81,2.45,25,0,2.08,0,10.6,0.75,1,0,0,0,0
2018-World Cup-South Korea,South Korea,62.7,1,19,4.33,22.8,0.67,0.33,0,9.33,3.33,1,0,0,0,0
2019-AFC Asian Cup-Kyrgyz Republic,Kyrgyz Republic,58.8,1.4,13,3.72,28.6,0.23,1.63,0,7.91,0.7,1,0,0,0,0
2019-AFC Asian Cup-Lebanon,Lebanon,58,1.67,13,5,38.5,0,2,0,9.67,2.33,1,0,0,0,0
2019-AFC Asian Cup-Oman,Oman,48.5,1.5,9,4.5,50,0.5,2.5,0.25,9,1.5,1,0,0,0,0
2019-AFC Asian Cup-Palestine,Palestine,66.3,1,13,4.33,33.3,0,2,0,8.33,2,1,0,0,0,0
2019-AFC Asian Cup-Philippines,Philippines,61,2.33,17,7,41.2,0,2.33,0,10,3,1,0,0,0,0
2019-AFC Asian Cup-Qatar,Qatar,50.9,0.14,9.86,1.71,17.4,0,2.86,0.29,14.4,0.57,1,0,0,0,0
2019-Copa America-Qatar,Qatar,54.7,1.67,17.3,6.33,36.5,0.33,1.67,0,7.33,3.67,1,0,0,0,0
2021-Gold Cup-Qatar,Qatar,54.6,1.2,9,3.4,37.8,0.2,1.4,0,6.2,0.4,1,0,0,0,0
2019-AFC Asian Cup-Saudi Arabia,Saudi Arabia,27.5,0.75,6.75,2.25,33.3,0.25,3,0.25,11,1.25,1,0,0,0,0
