Year,(Multiple Items),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC Team?,WC Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Sum of MP,Sum of Weighted O. Poss,Sum of Weighted O. Gls,Sum of Weighted O. Sh,Sum of Weighted O. SoT,Sum of Weighted O. SoT%,Sum of Weighted O. PKatt,Sum of Weighted O. CrdY,Sum of Weighted O. CrdR,Sum of Weighted O. Int,Sum of Weighted CrdY,Max of Confederation_AFC,Max of Confederation_CAF,Max of Confederation_CONCACAF,Max of Confederation_CONMEBOL,Max of Confederation_UEFA,O. Poss,O. Gls,O. Sh,O. SoT,O. SoT%,O. PKatt,O. CrdY,O. CrdR,O. Int,CrdY,Confederation_AFC,Confederation_CAF,Confederation_CONCACAF,Confederation_CONMEBOL,Confederation_UEFA
Argentina,30,1355,16.35,234.3,72.85,937.4,7.72,83.55,3.02,325.2,47.66,0,0,0,1,0,45.2,0.5,7.8,2.4,31.2,0.3,2.8,0.1,10.8,1.6,0,0,0,1,0
Australia,5,170,3.75,38.7,15.1,195,0.95,6.6,0,47.15,3.75,1,0,0,0,0,34.0,0.8,7.7,3.0,39.0,0.2,1.3,0.0,9.4,0.8,1,0,0,0,0
Belgium,23,814,12,198,57,688.2,0,36,1,335,21,0,0,0,0,1,35.4,0.5,8.6,2.5,29.9,0.0,1.6,0.0,14.6,0.9,0,0,0,0,1
Brazil,30,1192,8.73,220.11,65.33,898.1,0.96,86.26,4.7,380.9,48.73,0,0,0,1,0,39.7,0.3,7.3,2.2,29.9,0.0,2.9,0.2,12.7,1.6,0,0,0,1,0
Cameroon,11,431.3,8.74,101.87,30.94,366.9,0,19.35,0.98,100.63,12.57,0,1,0,0,0,39.2,0.8,9.3,2.8,33.4,0.0,1.8,0.1,9.1,1.1,0,1,0,0,0
Canada,9,415,11,99,30,286.3,3,11,1,64,17,0,0,1,0,0,46.1,1.2,11.0,3.3,31.8,0.3,1.2,0.1,7.1,1.9,0,0,1,0,0
Costa Rica,8,352.4,7.72,106.4,29.88,226,1.88,15.44,1,72.8,12.64,0,0,1,0,0,44.1,1.0,13.3,3.7,28.3,0.2,1.9,0.1,9.1,1.6,0,0,1,0,0
Croatia,22,823.8,17.48,171.24,64,830.6,0.92,37.64,2,260.04,38.52,0,0,0,0,1,37.4,0.8,7.8,2.9,37.8,0.0,1.7,0.1,11.8,1.8,0,0,0,0,1
Denmark,24,969.6,14.7,178.26,55.02,731.8,1.92,47.4,1.96,278.04,20.74,0,0,0,0,1,40.4,0.6,7.4,2.3,30.5,0.1,2.0,0.1,11.6,0.9,0,0,0,0,1
Ecuador,26,1252.3,33,272.6,90.09,851.2,5.04,59.07,3.06,265.08,56.97,0,0,0,1,0,48.2,1.3,10.5,3.5,32.7,0.2,2.3,0.1,10.2,2.2,0,0,0,1,0
England,25,897.1,10.82,162.94,52.47,824,2.04,54.74,1,274.2,24.46,0,0,0,0,1,35.9,0.4,6.5,2.1,33.0,0.1,2.2,0.0,11.0,1.0,0,0,0,0,1
France,22,792.4,14.64,118.56,38.24,713.6,3.8,36.6,0,242.04,26.44,0,0,0,0,1,36.0,0.7,5.4,1.7,32.4,0.2,1.7,0.0,11.0,1.2,0,0,0,0,1
Germany,22,653.2,16,155.04,50.04,684,2.04,32.04,1,299.2,22.04,0,0,0,0,1,29.7,0.7,7.0,2.3,31.1,0.1,1.5,0.0,13.6,1.0,0,0,0,0,1
Ghana,7,349,7.81,72.5,20.16,200.7,0,10.61,0,52.25,10.71,0,1,0,0,0,49.9,1.1,10.4,2.9,28.7,0.0,1.5,0.0,7.5,1.5,0,1,0,0,0
Iran,6,258,3,34.02,12,211.8,1.98,13.02,0,57,4.98,1,0,0,0,0,43.0,0.5,5.7,2.0,35.3,0.3,2.2,0.0,9.5,0.8,1,0,0,0,0
Japan,10,479.1,13.01,132.1,38,274.9,3.02,18.97,0,102.98,7.04,1,0,0,0,0,47.9,1.3,13.2,3.8,27.5,0.3,1.9,0.0,10.3,0.7,1,0,0,0,0
Mexico,12,411,5.52,97.68,27.6,338.4,0.9,22.26,0,95.64,11.4,0,0,1,0,0,34.3,0.5,8.1,2.3,28.2,0.1,1.9,0.0,8.0,1.0,0,0,1,0,0
Morocco,9,352.2,4.67,53.58,14.1,221.7,0,20.61,0.92,74.03,6.57,0,1,0,0,0,39.1,0.5,6.0,1.6,24.6,0.0,2.3,0.1,8.2,0.7,0,1,0,0,0
Netherlands,22,726.8,19.04,155.24,44,616,3,50,1,286.4,23.04,0,0,0,0,1,33.0,0.9,7.1,2.0,28.0,0.1,2.3,0.0,13.0,1.0,0,0,0,0,1
Poland,24,1030,21.01,228.95,72.04,774.5,1.98,60.01,3.98,260.5,46.99,0,0,0,0,1,42.9,0.9,9.5,3.0,32.3,0.1,2.5,0.2,10.9,2.0,0,0,0,0,1
Portugal,22,887.2,18,162,55,747.4,3.04,53.04,3.04,266,30.04,0,0,0,0,1,40.3,0.8,7.4,2.5,34.0,0.1,2.4,0.1,12.1,1.4,0,0,0,0,1
Qatar,15,793.4,11.99,165.92,47.96,420.3,1.99,32.03,2.03,153.79,17,1,0,0,0,0,52.9,0.8,11.1,3.2,28.0,0.1,2.1,0.1,10.3,1.1,1,0,0,0,0
Saudi Arabia,4,110,3,27,9,133.2,1,12,1,44,5,1,0,0,0,0,27.5,0.8,6.8,2.3,33.3,0.3,3.0,0.3,11.0,1.3,1,0,0,0,0
Senegal,14,579.6,3.78,102.55,23.94,326.9,0.98,31.64,3.78,120.82,15.33,0,1,0,0,0,41.4,0.3,7.3,1.7,23.4,0.1,2.3,0.3,8.6,1.1,0,1,0,0,0
Serbia,18,830.2,25.8,206,60.94,516.4,1.94,32.04,1.04,235.8,29,0,0,0,0,1,46.1,1.4,11.4,3.4,28.7,0.1,1.8,0.1,13.1,1.6,0,0,0,0,1
South Korea,5,155,1.9,49.05,12.25,125,0,10.4,0,53,3.75,1,0,0,0,0,31.0,0.4,9.8,2.5,25.0,0.0,2.1,0.0,10.6,0.8,1,0,0,0,0
Spain,24,609.8,14.3,127.58,50,939,3.04,36.16,1.88,306.6,29.16,0,0,0,0,1,25.4,0.6,5.3,2.1,39.1,0.1,1.5,0.1,12.8,1.2,0,0,0,0,1
Switzerland,21,845,15,195.08,63.34,691.3,2,40.04,2.08,231.5,33.73,0,0,0,0,1,40.2,0.7,9.3,3.0,32.9,0.1,1.9,0.1,11.0,1.6,0,0,0,0,1
Tunisia,12,535.7,5.73,118.54,27.38,279.8,1.91,21.83,3,111.1,11.82,0,1,0,0,0,44.6,0.5,9.9,2.3,23.3,0.2,1.8,0.3,9.3,1.0,0,1,0,0,0
United States,12,534,2.94,151.8,40.92,323.4,1.92,16.62,0,86.4,4.8,0,0,1,0,0,44.5,0.2,12.7,3.4,27.0,0.2,1.4,0.0,7.2,0.4,0,0,1,0,0
Uruguay,27,1389.2,25.84,257.36,97.56,1005.5,1.98,49.8,3.98,327.6,34.86,0,0,0,1,0,51.5,1.0,9.5,3.6,37.2,0.1,1.8,0.1,12.1,1.3,0,0,0,1,0
Wales,22,1219.4,20.04,243.2,77,695.8,2,57.04,2.04,205,49.04,0,0,0,0,1,55.4,0.9,11.1,3.5,31.6,0.1,2.6,0.1,9.3,2.2,0,0,0,0,1
Grand Total,543,22212.7,397.31,4637.17,1444.15,17075.1,62.95,1113.81,50.49,6014.69,726.78,1,1,1,1,1,,,,,,,,,,,,,,,
