Key,Squad,Poss,Gls,Sh,SoT,SoT%,PKatt,CrdY,CrdR,Fld,Int,O. CrdY,Confederation_AFC,Confederation_CAF,Confederation_CONCACAF,Confederation_CONMEBOL,Confederation_UEFA
2019-AFC Asian Cup-Australia,Australia,66,1.13,16.8,5.85,34.8,0,0.75,0,10.2,9.81,1.32,1,0,0,0,0
2018-World Cup-Australia,Australia,51.7,0.67,10.7,2.33,21.9,0.67,2.33,0,11,8,1.67,1,0,0,0,0
2019-AFC Asian Cup-Bahrain,Bahrain,46.3,0.7,15.6,4.19,26.9,0.23,0.47,0,12.6,10,1.4,1,0,0,0,0
2019-AFC Asian Cup-China PR,China PR,50.6,1.2,9.6,3.2,33.3,0.2,1,0,11.8,10.4,1.4,1,0,0,0,0
2019-AFC Asian Cup-India,India,36.7,1.33,9,3,33.3,0.33,0.67,0,11,13,1.33,1,0,0,0,0
2019-AFC Asian Cup-Iran,Iran,57,2,15.2,5,33,0.17,0.83,0,12.8,10,2.17,1,0,0,0,0
2018-World Cup-Iran,Iran,29,0.33,7.33,1,13.6,0.33,2.33,0,14.7,13,1.67,1,0,0,0,0
2019-AFC Asian Cup-Iraq,Iraq,55,1.5,12.3,4.25,34.7,0,1,0,13,13.5,2,1,0,0,0,0
2019-AFC Asian Cup-Japan,Japan,54.7,1.71,11.7,4.71,40.2,0.43,0.29,0,11.1,7.86,2.14,1,0,0,0,0
2018-World Cup-Japan,Japan,53,1.5,10.8,3.75,34.9,0.25,1,0,12.5,10.5,1.25,1,0,0,0,0
2019-Copa America-Japan,Japan,46,1,13.7,4.33,31.7,0,1.67,0,13,10,1.33,1,0,0,0,0
2019-AFC Asian Cup-Jordan,Jordan,41.3,0.93,11.6,3.95,34,0,0.93,0,13.3,12.6,1.4,1,0,0,0,0
2019-AFC Asian Cup-Korea DPR,Korea DPR,32.7,0.33,7.67,1.67,21.7,0,4.33,0.67,11,13,1.33,1,0,0,0,0
2019-AFC Asian Cup-South Korea,South Korea,69,1.13,14.7,4.53,30.8,0.19,0.75,0,12.6,9.25,2.08,1,0,0,0,0
2018-World Cup-South Korea,South Korea,37.3,1,11.3,3.67,32.4,0,3.33,0,11,6.33,0.33,1,0,0,0,0
