Key,Year,Competition,Squad,O. Age,O. Poss,MP,O. Gls,O. Sh,O. SoT,O. SoT%,O. G/Sh,O. G/SoT,O. PKatt,O. CrdY,O. CrdR,O. Fld,O. Int,O. TklW
2022-es La Liga-Alavés,2022,es La Liga,Alavés,27.6,58.2,38,1.71,13.4,4.16,30.9,0.12,0.37,0.24,2.08,0.11,15.4,11.7,9.05
2022-fr Ligue 1-Angers,2022,fr Ligue 1,Angers,25.8,51.3,38,1.37,11.2,3.95,35.1,0.11,0.31,0.13,2.13,0.18,12.7,14.3,15.1
2022-de Bundesliga-Arminia,2022,de Bundesliga,Arminia,26.3,59.5,34,1.5,15.4,5.18,33.5,0.08,0.25,0.21,1.74,0.0,13.5,14.4,12.3
2022-eng Premier League-Arsenal,2022,eng Premier League,Arsenal,26.9,46.8,38,1.24,11.0,3.71,33.7,0.1,0.3,0.16,1.82,0.08,10.7,14.4,9.84
2022-eng Premier League-Aston Villa,2022,eng Premier League,Aston Villa,26.7,53.5,38,1.37,12.5,3.82,30.6,0.1,0.33,0.16,2.18,0.03,12.8,13.1,10.7
2022-it Serie A-Atalanta,2022,it Serie A,Atalanta,26.6,44.9,38,1.18,10.2,3.53,34.6,0.1,0.3,0.16,2.47,0.03,13.9,17.1,12.3
2022-es La Liga-Athletic Club,2022,es La Liga,Athletic Club,27.6,51.9,38,0.92,11.5,3.32,28.8,0.07,0.25,0.08,2.76,0.24,14.1,16.1,10.2
2022-es La Liga-Atlético Madrid,2022,es La Liga,Atlético Madrid,27.6,49.4,38,1.08,9.18,2.53,27.5,0.1,0.35,0.21,2.68,0.11,13.3,16.1,9.97
2022-de Bundesliga-Augsburg,2022,de Bundesliga,Augsburg,26.4,58.8,34,1.59,14.1,4.47,31.8,0.1,0.32,0.15,1.74,0.0,14.6,14.7,9.68
2022-es La Liga-Barcelona,2022,es La Liga,Barcelona,27.7,35.2,38,1.0,9.37,3.26,34.8,0.1,0.29,0.08,2.45,0.13,13.7,15.7,11.4
2022-de Bundesliga-Bayern Munich,2022,de Bundesliga,Bayern Munich,26.1,35.2,34,1.06,9.38,3.29,35.1,0.11,0.3,0.06,1.44,0.0,9.79,23.5,12.9
2022-es La Liga-Betis,2022,es La Liga,Betis,27.4,45.9,38,1.0,11.3,3.34,29.7,0.08,0.28,0.08,1.95,0.08,13.8,14.7,10.1
2022-de Bundesliga-Bochum,2022,de Bundesliga,Bochum,26.2,55.5,34,1.41,13.9,4.91,35.4,0.09,0.26,0.24,2.0,0.0,13.2,14.9,10.3
