Squad,O. Poss,O. Gls,O. Sh,O. SoT,O. SoT%,O. PKatt,O. CrdY,O. CrdR,O. Int,CrdY,Confederation_AFC,Confederation_CAF,Confederation_CONCACAF,Confederation_CONMEBOL,Confederation_UEFA
Qatar,47.10666667,2.198666667,11.674,4.4,38.34666667,0.402,1.133333333,0,13.4,11.528,1,0,0,0,0
Iran,57,2,15.2,5,33,0.17,0.83,0,12.8,10,1,0,0,0,0
South Korea,69,1.13,14.7,4.53,30.8,0.19,0.75,0,12.6,9.25,1,0,0,0,0
Japan,52.09,1.497,12.3,4.596,37.65,0.301,0.704,0,11.67,8.502,1,0,0,0,0
Saudi Arabia,72.5,1.5,14.5,4,27.6,0,1.25,0,16,7.75,1,0,0,0,0
Australia,66,1.13,16.8,5.85,34.8,0,0.75,0,10.2,9.81,1,0,0,0,0
Ghana,50.14285714,0.96,10.7,3.035714286,28.4,0,1.53,0.418571429,19.28571429,9.365714286,0,1,0,0,0
Senegal,58.6,1.095,12.95,4.45,34.35,0.41,1.095,0,20.9,6.985,0,1,0,0,0
Tunisia,55.35833333,0.871666667,10.35583333,3.1075,29.61666667,0.401666667,0.985,0.083333333,13.46666667,7.4225,0,1,0,0,0
Cameroon,60.82727273,1.585454545,13.78181818,4.317272727,30.91818182,0.171818182,1.142727273,0,13.30909091,6.461818182,0,1,0,0,0
Morocco,60.91111111,1.15,15.01111111,4.901111111,32.65555556,0.418888889,0.73,0,18.21111111,10.41111111,0,1,0,0,0
Canada,53.88888889,2.777777778,15.11111111,6.111111111,38.98888889,0.333333333,1.888888889,0,14.66666667,12.8,0,0,1,0,0
Mexico,65.75,1.91,19.65,6.53,33.3,0.235,0.95,0,14.75,10.05,0,0,1,0,0
United States,55.5,2.045,13.35,5.54,41.75,0,0.4,0,11.7,8.505,0,0,1,0,0
Costa Rica,56.05,1.565,11.1,3.915,34.05,0.115,1.58,0.25,14.15,12.5,0,0,1,0,0
Brazil,60.26666667,2.040666667,13.72666667,5.553,40.89333333,0.315666667,1.624333333,0.098666667,15.47666667,10.11766667,0,0,0,1,0
Argentina,54.83333333,1.466666667,13.05666667,5.049,38.77333333,0.129,1.588666667,0,16.63,10.97333333,0,0,0,1,0
Ecuador,51.83461538,1.269615385,11.09192308,3.727692308,33.26538462,0.190384615,2.191153846,0.233461538,12.93846154,11.16153846,0,0,0,1,0
Uruguay,48.54814815,1.094814815,12.54074074,4.197037037,33.31851852,0.291111111,1.291111111,0.04,13.05185185,13.06666667,0,0,0,1,0
Germany,70.32727273,2.956363636,19.18181818,7.683636364,39.61818182,0.227272727,1.001818182,0.047272727,8.090909091,9.681818182,0,0,0,0,1
Denmark,59.63333333,2.558333333,14.925,6.009166667,40.375,0.25,0.864166667,0,11.55833333,9.175,0,0,0,0,1
Belgium,64.60869565,2.871304348,15.53043478,6.784347826,43.15217391,0.175652174,0.913043478,0,8.739130435,7.306086957,0,0,0,0,1
France,64,1.801818182,14.2,5.172727273,36.35454545,0.314545455,1.201818182,0.047272727,9.072727273,7.609090909,0,0,0,0,1
Croatia,62.55454545,1.756363636,14.93272727,5.54,37.39090909,0.181818182,1.750909091,0,9.183636364,8.72,0,0,0,0,1
Spain,74.59166667,2.109166667,17.06666667,6.286666667,36.675,0.240833333,1.215,0.041666667,11.33333333,7.725833333,0,0,0,0,1
Serbia,53.87777778,1.935555556,13.95555556,6.055555556,43.67777778,0.161111111,1.611111111,0.057777778,10.6,9.8,0,0,0,0,1
England,64.148,2.8856,12.3828,5.828,47.152,0.3964,0.9784,0,10.88,9.5456,0,0,0,0,1
Switzerland,59.76190476,1.765714286,16.86666667,5.832380952,34.72857143,0.141904762,1.606190476,0.042857143,9.94,10.23809524,0,0,0,0,1
Netherlands,66.96363636,2.638181818,18.23636364,7.090909091,38.88181818,0.318181818,1.047272727,0.045454545,9.829090909,7.190909091,0,0,0,0,1
Portugal,59.69090909,2.229090909,16.4,6.456363636,38.92727273,0.410909091,1.365454545,0.045454545,11.32909091,9.365454545,0,0,0,0,1
Poland,57.08333333,2.08375,12.9,4.792083333,36.8125,0.082916667,1.957916667,0.04125,12.35416667,10.41791667,0,0,0,0,1
Wales,44.59090909,1.274545455,11.86363636,4.318181818,36.07272727,0.181818182,2.229090909,0.136363636,13.27272727,10.51090909,0,0,0,0,1
