Key,Year,Competition,Squad,Age,Poss,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,PKatt,CrdY,CrdR,Fld,Int,TklW
2022-es La Liga-Alavés,2022,es La Liga,Alavés,27.9,41.8,0.76,10.0,2.89,28.9,0.06,0.21,0.18,2.45,0.11,13.5,14.3,9.24
2022-fr Ligue 1-Angers,2022,fr Ligue 1,Angers,27.4,48.7,1.08,10.2,3.21,31.4,0.08,0.26,0.24,1.84,0.11,13.0,16.1,11.1
2022-de Bundesliga-Arminia,2022,de Bundesliga,Arminia,25.8,40.5,0.76,10.7,3.26,30.6,0.07,0.22,0.06,1.62,0.06,9.91,17.5,11.1
2022-eng Premier League-Arsenal,2022,eng Premier League,Arsenal,24.4,53.2,1.58,15.3,4.87,31.9,0.09,0.3,0.21,1.76,0.11,11.5,12.5,9.21
2022-eng Premier League-Aston Villa,2022,eng Premier League,Aston Villa,26.1,46.5,1.32,12.1,4.18,34.5,0.1,0.3,0.08,2.13,0.05,15.6,15.4,10.5
2022-it Serie A-Atalanta,2022,it Serie A,Atalanta,27.5,55.1,1.63,15.7,4.42,28.1,0.1,0.34,0.16,2.29,0.05,13.4,14.7,11.2
2022-es La Liga-Athletic Club,2022,es La Liga,Athletic Club,26.9,48.1,1.05,12.2,3.92,32.2,0.08,0.25,0.18,2.37,0.11,14.9,13.1,9.79
2022-es La Liga-Atlético Madrid,2022,es La Liga,Atlético Madrid,28.1,50.6,1.66,12.1,3.95,32.7,0.13,0.39,0.13,2.92,0.18,16.1,13.1,10.4
2022-de Bundesliga-Augsburg,2022,de Bundesliga,Augsburg,26.6,41.2,1.15,10.7,3.41,31.9,0.09,0.29,0.15,2.18,0.0,11.6,17.8,11.0
2022-es La Liga-Barcelona,2022,es La Liga,Barcelona,26.2,64.8,1.79,13.7,4.68,34.2,0.12,0.35,0.18,2.55,0.13,16.4,12.2,10.9
2022-de Bundesliga-Bayern Munich,2022,de Bundesliga,Bayern Munich,26.8,64.8,2.71,19.8,7.47,37.7,0.13,0.34,0.15,1.06,0.06,12.7,16.0,11.5
2022-es La Liga-Betis,2022,es La Liga,Betis,28.9,54.1,1.61,13.5,4.76,35.3,0.11,0.3,0.16,2.29,0.16,14.8,13.4,11.3
2022-de Bundesliga-Bochum,2022,de Bundesliga,Bochum,28.0,44.5,1.09,12.1,4.12,34.1,0.08,0.24,0.18,1.62,0.06,12.4,20.0,12.4
2022-it Serie A-Bologna,2022,it Serie A,Bologna,26.6,50.7,1.13,11.6,3.74,32.1,0.09,0.27,0.13,2.42,0.18,14.2,13.9,9.11
