Key,Year,Competition,Squad,O. CrdY,O. CrdR,O. Fld,O. Int,O. TklW
2022-Big Five Euro-Alavés,2022,Big Five Euro,Alavés,2.08,0.11,15.4,11.7,9.05
2022-Big Five Euro-Angers,2022,Big Five Euro,Angers,2.13,0.18,12.7,14.3,15.1
2022-Big Five Euro-Arminia,2022,Big Five Euro,Arminia,1.74,0,13.5,14.4,12.3
2022-Big Five Euro-Arsenal,2022,Big Five Euro,Arsenal,1.82,0.08,10.7,14.4,9.84
2022-Big Five Euro-Aston Villa,2022,Big Five Euro,Aston Villa,2.18,0.03,12.8,13.1,10.7
2022-Big Five Euro-Atalanta,2022,Big Five Euro,Atalanta,2.47,0.03,13.9,17.1,12.3
2022-Big Five Euro-Athletic Club,2022,Big Five Euro,Athletic Club,2.76,0.24,14.1,16.1,10.2
2022-Big Five Euro-Atlético Madrid,2022,Big Five Euro,Atlético Madrid,2.68,0.11,13.3,16.1,9.97
2022-Big Five Euro-Augsburg,2022,Big Five Euro,Augsburg,1.74,0,14.6,14.7,9.68
2022-Big Five Euro-Barcelona,2022,Big Five Euro,Barcelona,2.45,0.13,13.7,15.7,11.4
2022-Big Five Euro-Bayern Munich,2022,Big Five Euro,Bayern Munich,1.44,0,9.79,23.5,12.9
2022-Big Five Euro-Betis,2022,Big Five Euro,Betis,1.95,0.08,13.8,14.7,10.1
2022-Big Five Euro-Bochum,2022,Big Five Euro,Bochum,2,0,13.2,14.9,10.3
2022-Big Five Euro-Bologna,2022,Big Five Euro,Bologna,2.18,0.11,12.1,12.9,9.18
2022-Big Five Euro-Bordeaux,2022,Big Five Euro,Bordeaux,1.79,0.16,12.5,15.9,11.7
2022-Big Five Euro-Brentford,2022,Big Five Euro,Brentford,1.32,0.08,11.4,15.3,8.5
2022-Big Five Euro-Brest,2022,Big Five Euro,Brest,2.13,0.18,12.1,15.2,11.9
2022-Big Five Euro-Brighton,2022,Big Five Euro,Brighton,2.11,0,11.8,17.2,10.1
2022-Big Five Euro-Burnley,2022,Big Five Euro,Burnley,1.16,0,12.1,12,8.05
2022-Big Five Euro-Cádiz,2022,Big Five Euro,Cádiz,2.58,0.16,14.5,12.9,9.63
2022-Big Five Euro-Cagliari,2022,Big Five Euro,Cagliari,1.95,0.13,15.2,13.4,8.53
2022-Big Five Euro-Celta Vigo,2022,Big Five Euro,Celta Vigo,2.71,0.13,14.5,16.3,9.45
2022-Big Five Euro-Chelsea,2022,Big Five Euro,Chelsea,1.82,0.11,12.3,17,11.6
2022-Big Five Euro-Clermont Foot,2022,Big Five Euro,Clermont Foot,2.03,0.16,10.4,17.8,12.6
2022-Big Five Euro-Crystal Palace,2022,Big Five Euro,Crystal Palace,1.95,0.08,12.7,15.3,12.8
2022-Big Five Euro-Dortmund,2022,Big Five Euro,Dortmund,2.03,0,11.2,20.8,11.9
2022-Big Five Euro-Eint Frankfurt,2022,Big Five Euro,Eint Frankfurt,1.79,0.03,13.7,19.1,10.9
2022-Big Five Euro-Elche,2022,Big Five Euro,Elche,2.11,0.05,15.1,13.8,10.9
2022-Big Five Euro-Empoli,2022,Big Five Euro,Empoli,2.11,0.03,14.2,15.3,10.8
2022-Big Five Euro-Espanyol,2022,Big Five Euro,Espanyol,3.16,0.18,13,12.4,10.9
2022-Big Five Euro-Everton,2022,Big Five Euro,Everton,1.89,0,11.5,14.1,9.68
2022-Big Five Euro-Fiorentina,2022,Big Five Euro,Fiorentina,2.71,0.11,12.4,15.2,9.55
2022-Big Five Euro-Freiburg,2022,Big Five Euro,Freiburg,1.91,0.06,12.4,14.9,9.71
2022-Big Five Euro-Genoa,2022,Big Five Euro,Genoa,2.16,0.03,15.8,14.8,10.9
2022-Big Five Euro-Getafe,2022,Big Five Euro,Getafe,2.89,0.11,15.9,10.4,9.29
2022-Big Five Euro-Granada,2022,Big Five Euro,Granada,2.66,0.24,13.8,11.6,10.3
2022-Big Five Euro-Greuther Fürth,2022,Big Five Euro,Greuther Fürth,1.44,0.06,14.1,14.7,11.9
2022-Big Five Euro-Hellas Verona,2022,Big Five Euro,Hellas Verona,1.95,0.08,15.2,16.9,11.9
2022-Big Five Euro-Hertha BSC,2022,Big Five Euro,Hertha BSC,1.38,0,13.2,15.1,12.2
2022-Big Five Euro-Hoffenheim,2022,Big Five Euro,Hoffenheim,1.38,0.09,13.3,17.8,9.79
2022-Big Five Euro-Inter,2022,Big Five Euro,Inter,2.08,0.13,12.7,15.8,8.71
2022-Big Five Euro-Juventus,2022,Big Five Euro,Juventus,2.47,0.11,13.9,14.2,10.7
2022-Big Five Euro-Köln,2022,Big Five Euro,Köln,1.91,0,13.2,16.7,10.6
2022-Big Five Euro-Lazio,2022,Big Five Euro,Lazio,2.63,0.18,12,15.8,10
2022-Big Five Euro-Leeds United,2022,Big Five Euro,Leeds United,1.95,0.08,14.9,17.6,10.9
2022-Big Five Euro-Leicester City,2022,Big Five Euro,Leicester City,1.58,0,11.7,16.9,10.5
2022-Big Five Euro-Lens,2022,Big Five Euro,Lens,2.21,0.18,11.7,17.4,10.9
2022-Big Five Euro-Levante,2022,Big Five Euro,Levante,2.74,0.13,16.1,14.3,11.7
2022-Big Five Euro-Leverkusen,2022,Big Five Euro,Leverkusen,1.47,0.03,11.4,18.3,12.6
2022-Big Five Euro-Lille,2022,Big Five Euro,Lille,2.26,0.21,12.4,17.1,11.7
2022-Big Five Euro-Liverpool,2022,Big Five Euro,Liverpool,1.66,0.08,10.8,19.3,10.9
2022-Big Five Euro-Lorient,2022,Big Five Euro,Lorient,1.89,0.26,13.2,15.2,11.1
2022-Big Five Euro-Lyon,2022,Big Five Euro,Lyon,1.66,0,11.5,17.9,13.3
2022-Big Five Euro-M'Gladbach,2022,Big Five Euro,M'Gladbach,2.15,0.12,11.3,16.6,12.3
2022-Big Five Euro-Mainz 05,2022,Big Five Euro,Mainz 05,2.03,0,15.3,16,10.2
2022-Big Five Euro-Mallorca,2022,Big Five Euro,Mallorca,3,0.16,16.1,11.9,11.4
2022-Big Five Euro-Manchester City,2022,Big Five Euro,Manchester City,1.79,0.08,9.47,15.7,11.2
2022-Big Five Euro-Manchester Utd,2022,Big Five Euro,Manchester Utd,1.26,0.03,12.2,18.2,11
2022-Big Five Euro-Marseille,2022,Big Five Euro,Marseille,2.21,0.18,9.74,15.6,11.4
2022-Big Five Euro-Metz,2022,Big Five Euro,Metz,1.76,0.05,14.3,14.7,11.8
2022-Big Five Euro-Milan,2022,Big Five Euro,Milan,2.39,0.16,13,14.8,11.1
2022-Big Five Euro-Monaco,2022,Big Five Euro,Monaco,1.74,0.05,13.7,18.7,11.2
2022-Big Five Euro-Montpellier,2022,Big Five Euro,Montpellier,2.29,0.11,11.7,15.7,12.2
2022-Big Five Euro-Nantes,2022,Big Five Euro,Nantes,1.61,0.24,13.4,14.7,10.9
2022-Big Five Euro-Napoli,2022,Big Five Euro,Napoli,2.66,0.24,12,17,9.71
