Group,Squad 2,Squad 2
Finals,England,15180
Finals,Belgium,12337
Finals,Portugal,9531
Finals,Germany,8528
Finals,France,7788
Finals,Senegal,6059
Finals,Spain,4957
Finals,Denmark,4655
Finals,Netherlands,4465
Finals,Morocco,4355
Finals,Brazil,2914
Finals,Cameroon,2590
Finals,Argentina,2498
Finals,South Korea,2456
Finals,Mexico,1902
Finals,Switzerland,1332
Finals,Iran,1324
Finals,Serbia,1323
Finals,Poland,943
Finals,United States,868
Finals,Saudi Arabia,821
Finals,Croatia,632
Finals,Australia,595
Finals,Qatar,587
Finals,Japan,422
Finals,Tunisia,308
Finals,Costa Rica,158
Finals,Ecuador,152
Finals,Canada,148
Finals,Uruguay,98
Finals,Wales,50
Finals,Ghana,24
R16,Senegal,51079
R16,Germany,47692
R16,South Korea,47580
R16,Iran,41443
R16,Morocco,41308
R16,Denmark,36740
R16,Argentina,35059
R16,Cameroon,34789
R16,United States,27863
R16,Spain,25989
R16,Switzerland,24551
R16,Serbia,23713
R16,Poland,23671
R16,Croatia,22905
R16,Saudi Arabia,22640
R16,Australia,22544
R16,Portugal,20921
R16,Tunisia,20481
R16,France,20235
R16,Netherlands,19754
R16,Belgium,19515
R16,Mexico,18630
R16,Qatar,18462
R16,Uruguay,18304
R16,Brazil,16947
R16,England,16571
R16,Canada,16272
R16,Japan,15428
R16,Wales,14123
R16,Ghana,13195
R16,Costa Rica,10891
R16,Ecuador,10705
R8,Brazil,51144
R8,Portugal,48625
R8,France,43924
R8,Denmark,40705
R8,Mexico,38352
R8,South Korea,35024
R8,Argentina,27998
R8,Cameroon,26171
R8,Switzerland,15621
R8,Australia,14554
R8,Serbia,13399
R8,Poland,12866
R8,Tunisia,11115
R8,Saudi Arabia,10486
R8,Uruguay,6527
R8,Ghana,3489
Semi-Finals,Netherlands,39710
Semi-Finals,England,32491
Semi-Finals,France,21496
Semi-Finals,Senegal,20727
Semi-Finals,Denmark,19641
Semi-Finals,Mexico,17407
Semi-Finals,Argentina,11299
Semi-Finals,Iran,9866
Semi-Finals,United States,6325
Semi-Finals,Australia,5099
Semi-Finals,Poland,4257
Semi-Finals,Tunisia,3766
Semi-Finals,Saudi Arabia,3403
Semi-Finals,Qatar,2605
Semi-Finals,Wales,1164
Semi-Finals,Ecuador,744
