date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
9/1/1956,Hong Kong,Israel,2.0,3.0,AFC Asian Cup,So Kon Po,Hong Kong,False
9/6/1956,Hong Kong,South Korea,2.0,2.0,AFC Asian Cup,So Kon Po,Hong Kong,False
9/8/1956,Israel,South Korea,1.0,2.0,AFC Asian Cup,So Kon Po,Hong Kong,True
9/9/1956,Hong Kong,Vietnam Republic,2.0,2.0,AFC Asian Cup,So Kon Po,Hong Kong,False
9/12/1956,Israel,Vietnam Republic,2.0,1.0,AFC Asian Cup,So Kon Po,Hong Kong,True
9/15/1956,South Korea,Vietnam Republic,5.0,3.0,AFC Asian Cup,So Kon Po,Hong Kong,True
10/14/1960,South Korea,Vietnam Republic,5.0,1.0,AFC Asian Cup,Seoul,South Korea,False
10/17/1960,South Korea,Israel,3.0,0.0,AFC Asian Cup,Seoul,South Korea,False
10/17/1960,Chinese Taipei,Vietnam Republic,2.0,0.0,AFC Asian Cup,Seoul,South Korea,True
10/19/1960,Israel,Vietnam Republic,5.0,1.0,AFC Asian Cup,Seoul,South Korea,True
10/20/1960,Israel,Chinese Taipei,1.0,0.0,AFC Asian Cup,Seoul,South Korea,True
10/21/1960,South Korea,Chinese Taipei,1.0,0.0,AFC Asian Cup,Seoul,South Korea,False
5/26/1964,Israel,Hong Kong,1.0,0.0,AFC Asian Cup,Ramat-Gan,Israel,False
5/27/1964,India,South Korea,2.0,0.0,AFC Asian Cup,Haifa,Israel,True
5/29/1964,Israel,India,2.0,0.0,AFC Asian Cup,Jaffa,Israel,False
5/31/1964,Hong Kong,South Korea,0.0,1.0,AFC Asian Cup,Jerusalem,Israel,True
6/2/1964,Hong Kong,India,1.0,3.0,AFC Asian Cup,Jaffa,Israel,True
6/3/1964,Israel,South Korea,2.0,1.0,AFC Asian Cup,Ramat-Gan,Israel,False
5/10/1968,Iran,Hong Kong,2.0,0.0,AFC Asian Cup,Teheran,Iran,False
5/11/1968,Burma,Chinese Taipei,1.0,1.0,AFC Asian Cup,Teheran,Iran,True
5/12/1968,Hong Kong,Israel,1.0,6.0,AFC Asian Cup,Teheran,Iran,True
5/13/1968,Iran,Chinese Taipei,4.0,0.0,AFC Asian Cup,Teheran,Iran,False
5/14/1968,Burma,Israel,1.0,0.0,AFC Asian Cup,Teheran,Iran,True
5/15/1968,Hong Kong,Chinese Taipei,1.0,1.0,AFC Asian Cup,Teheran,Iran,True
5/16/1968,Iran,Burma,3.0,1.0,AFC Asian Cup,Teheran,Iran,False
5/17/1968,Israel,Chinese Taipei,4.0,1.0,AFC Asian Cup,Teheran,Iran,True
