"Team","Appearances","Record streak","Active streak","Debut","Most recent","Best result"
"Germany",13,13,13,1972,2020,"Champions (1972, 1980, 1996)"
"Russia",12,5,5,1960,2020,"Champions (1960)"
"Spain",11,7,7,1964,2020,"Champions (1964*, 2008, 2012)"
"France",10,8,8,1960,2020,"Champions (1984*, 2000)"
"Italy",10,7,7,1968,2020,"Champions (1968*)"
"Czech Republic",10,7,7,1960,2020,"Champions (1976)"
"Netherlands",10,7,1,1976,2020,"Champions (1988)"
"England",10,5,3,1968,2020,"Third place (1968), Semi-finals (1996*)"
"Denmark",9,6,1,1964,2020,"Champions (1992)"
"Portugal",8,7,7,1984,2020,"Champions (2016)"
"Sweden",7,6,6,1992,2020,"Semi-finals (1992*)"
"Belgium",6,2,2,1972,2020,"Runners-up (1980)"
"Croatia",6,5,5,1996,2020,"Quarter-finals (1996, 2008)"
"Serbia",5,1,0,1960,2000,"Runners-up (1960, 1968)"
"Turkey",5,2,2,1996,2020,"Semi-finals (2008)"
"Romania",5,2,0,1984,2016,"Quarter-finals (2000)"
"Switzerland",5,2,2,1996,2020,"Round of 16 (2016)"
"Greece",4,3,0,1980,2012,"Champions (2004)"
"Hungary",4,2,2,1964,2020,"Third place (1964)"
"Poland",4,4,4,2008,2020,"Quarter-finals (2016)"
"Republic of Ireland",3,2,0,1988,2016,"Round of 16 (2016)"
"Scotland",3,2,1,1992,2020,"Group stage (1992, 1996)"
"Austria",3,2,2,2008,2020,"Group stage (2008*, 2016)"
"Ukraine",3,3,3,2012,2020,"Group stage (2012*, 2016)"
"Wales",2,2,2,2016,2020,"Semi-finals (2016)"
"Slovakia",2,2,2,2016,2020,"Round of 16 (2016)"
"Bulgaria",2,1,0,1996,2004,"Group stage (1996, 2004)"
"Iceland",1,1,0,2016,2016,"Quarter-finals (2016)"
"Northern Ireland",1,1,0,2016,2016,"Round of 16 (2016)"
"Norway",1,1,0,2000,2000,"Group stage (2000)"
"Slovenia",1,1,0,2000,2000,"Group stage (2000)"
"Latvia",1,1,0,2004,2004,"Group stage (2004)"
"Albania",1,1,0,2016,2016,"Group stage (2016)"
"Finland",1,1,1,2020,2020,"TBD"
"North Macedonia",1,1,1,2020,2020,"TBD"
