Year,Host,Champion,Runners Up,Total Team,Total Match,Total Goal,Average  goal per match,Total Goalscorers,Own Goals
2021,Brazil,Argentina,Brazil,10,28,65,2.32,41,4
2019,Brazil,Brazil,Peru,12,26,60,2.31,41,1
2016,USA,Cheli,Argentina,16,32,91,2.84,62,3
2015,Chile,Cheli,Argentina,12,26,59,2.27,39,2
2011,Argentina,Uruguay,Paraguay,12,26,54,2.08,39,1
2007,Venezuela,Brazil,Argentina,12,26,86,3.31,53,1
2004,Peru,Brazil,Argentina,12,26,78,3.00 ,55,0
2001,Colombia,Colombia,Mexico,12,26,60,2.31,41,0
1999,Paraguay,Brazil,Uruguay,12,26,74,2.85,45,1
1997,Bolivia,Brazil,Bolivia,12,26,67,2.58,42,2
1995,Uruguay,Uruguay,Brazil,12,26,69,2.65,45,3
1993,Ecuador,Argentina,Mexico,12,26,64,2.46,41,1
1991,Chile,Argentina,Brazil,10,26,73,2.81,42,2
1989,Brazil,Brazil,Uruguay,10,26,55,2.12,30,1
1987,Argentina,Uruguay,Chile,10,13,33,2.54,24,1
1983,Not fixed,Uruguay,Brazil,10,24,55,2.29,40,0
1979,Not fixed,Paraguay,Chile,10,25,63,2.52,41,0
1975,Not fixed,Peru,Colombia,10,25,79,3.16,41,1
1967,Uruguay,Uruguay,Argentina,6,15,49,3.27,27,1
1963,Bolivia,Bolivia,Paraguay,7,21,91,4.33,40,0
1959,Ecuador,Uruguay,Argentina,5,10,40,4.00 ,21,1
1959,Argentina,Argentina,Brazil,7,21,86,4.10 ,36,1
1957,Peru,Argentina,Brazil,7,21,101,4.81,33,0
1956,Uruguay,Uruguay,Chile,6,15,38,2.53,26,0
1955,Chile,Argentina,Chile,6,15,73,4.87,30,2
1953,Peru,Paraguay,Brazil,7,22,67,3.05,32,0
1949,Brazil,Brazil,Paraguay,8,29,135,4.66,58,3
1947,Ecuador,Argentina,Paraguay,8,28,102,3.64,42,1
1946,Argentina,Argentina,Brazil,6,15,61,4.07,28,1
1945,Chile,Argentina,Brazil,7,21,89,4.24,42,0
1942,Uruguay,Uruguay,Argentina,7,21,81,3.86,38,0
1941,Chile,Argentina,Uruguay,5,10,32,3.20 ,20,1
1939,Peru,Peru,Uruguay,5,10,47,4.70 ,21,0
1937,Argentina,Argentina,Brazil,6,16,69,4.31,34,0
1935,Peru,Uruguay,Argentina,4,6,18,3.00 ,11,0
1929,Argentina,Argentina,Paraguay,4,6,23,3.83,11,0
1927,Peru,Argentina,Uruguay,4,6,37,6.17,20,2
1926,Chile,Uruguay,Argentina,5,10,55,5.50 ,21,0
1925,Argentina,Argentina,Brazil,3,6,26,4.33,13,0
1924,Uruguay,Uruguay,Argentina,4,6,15,2.50 ,10,0
1923,Uruguay,Uruguay,Argentina,4,6,18,3.00 ,12,0
1922,Brazil,Brazil,Paraguay,5,11,22,2.00 ,16,0
1921,Argentina,Argentina,Brazil,4,6,14,2.33,10,0
1920,Chile,Uruguay,Argentina,4,6,16,2.67,11,0
1919,Brazil,Brazil,Uruguay,4,7,27,3.86,14,1
1917,Uruguay,Uruguay,Argentina,4,6,21,3.50 ,12,1
1916,Argentina,Uruguay,Argentina,4,6,18,3.00 ,12,0
