date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
7/2/1916,Chile,Uruguay,0.0,4.0,Copa America,Buenos Aires,Argentina,True
7/6/1916,Argentina,Chile,6.0,1.0,Copa America,Buenos Aires,Argentina,False
7/8/1916,Brazil,Chile,1.0,1.0,Copa America,Buenos Aires,Argentina,True
7/10/1916,Argentina,Brazil,1.0,1.0,Copa America,Buenos Aires,Argentina,False
7/12/1916,Brazil,Uruguay,1.0,2.0,Copa America,Buenos Aires,Argentina,True
7/17/1916,Argentina,Uruguay,0.0,0.0,Copa America,Avellaneda,Argentina,False
9/30/1917,Uruguay,Chile,4.0,0.0,Copa America,Montevideo,Uruguay,False
10/3/1917,Argentina,Brazil,4.0,2.0,Copa America,Montevideo,Uruguay,True
10/6/1917,Argentina,Chile,1.0,0.0,Copa America,Montevideo,Uruguay,True
10/7/1917,Uruguay,Brazil,4.0,0.0,Copa America,Montevideo,Uruguay,False
10/12/1917,Brazil,Chile,5.0,0.0,Copa America,Montevideo,Uruguay,True
10/14/1917,Uruguay,Argentina,1.0,0.0,Copa America,Montevideo,Uruguay,False
5/11/1919,Brazil,Chile,6.0,0.0,Copa America,Rio de Janeiro,Brazil,False
5/13/1919,Argentina,Uruguay,2.0,3.0,Copa America,Rio de Janeiro,Brazil,True
5/17/1919,Chile,Uruguay,0.0,2.0,Copa America,Rio de Janeiro,Brazil,True
5/18/1919,Brazil,Argentina,3.0,1.0,Copa America,Rio de Janeiro,Brazil,False
5/22/1919,Argentina,Chile,4.0,1.0,Copa America,Rio de Janeiro,Brazil,True
5/26/1919,Brazil,Uruguay,2.0,2.0,Copa America,Rio de Janeiro,Brazil,False
5/29/1919,Brazil,Uruguay,1.0,0.0,Copa America,Rio de Janeiro,Brazil,False
9/11/1920,Chile,Brazil,0.0,1.0,Copa America,Viña del Mar,Chile,False
9/12/1920,Uruguay,Argentina,1.0,1.0,Copa America,Viña del Mar,Chile,True
9/18/1920,Brazil,Uruguay,0.0,6.0,Copa America,Viña del Mar,Chile,True
9/20/1920,Chile,Argentina,1.0,1.0,Copa America,Viña del Mar,Chile,False
9/25/1920,Argentina,Brazil,2.0,0.0,Copa America,Viña del Mar,Chile,True
10/3/1920,Chile,Uruguay,1.0,2.0,Copa America,Viña del Mar,Chile,False
10/2/1921,Argentina,Brazil,1.0,0.0,Copa America,Buenos Aires,Argentina,False
10/9/1921,Paraguay,Uruguay,2.0,1.0,Copa America,Buenos Aires,Argentina,True
10/12/1921,Brazil,Paraguay,3.0,0.0,Copa America,Buenos Aires,Argentina,True
10/16/1921,Argentina,Paraguay,3.0,0.0,Copa America,Buenos Aires,Argentina,False
10/23/1921,Brazil,Uruguay,1.0,2.0,Copa America,Buenos Aires,Argentina,True
10/30/1921,Argentina,Uruguay,1.0,0.0,Copa America,Buenos Aires,Argentina,False
9/17/1922,Brazil,Chile,1.0,1.0,Copa America,Rio de Janeiro,Brazil,False
9/23/1922,Chile,Uruguay,0.0,2.0,Copa America,Rio de Janeiro,Brazil,True
9/24/1922,Brazil,Paraguay,1.0,1.0,Copa America,Rio de Janeiro,Brazil,False
9/28/1922,Argentina,Chile,4.0,0.0,Copa America,Rio de Janeiro,Brazil,True
10/1/1922,Brazil,Uruguay,0.0,0.0,Copa America,Rio de Janeiro,Brazil,False
10/5/1922,Chile,Paraguay,0.0,3.0,Copa America,Rio de Janeiro,Brazil,True
10/8/1922,Argentina,Uruguay,0.0,1.0,Copa America,Rio de Janeiro,Brazil,True
10/12/1922,Paraguay,Uruguay,1.0,0.0,Copa America,Rio de Janeiro,Brazil,True
10/15/1922,Brazil,Argentina,2.0,0.0,Copa America,Rio de Janeiro,Brazil,False
10/18/1922,Argentina,Paraguay,2.0,0.0,Copa America,Rio de Janeiro,Brazil,True
10/22/1922,Brazil,Paraguay,3.0,0.0,Copa America,Rio de Janeiro,Brazil,False
10/29/1923,Argentina,Paraguay,4.0,3.0,Copa America,Montevideo,Uruguay,True
11/4/1923,Uruguay,Paraguay,2.0,0.0,Copa America,Montevideo,Uruguay,False
11/11/1923,Brazil,Paraguay,0.0,1.0,Copa America,Montevideo,Uruguay,True
11/18/1923,Argentina,Brazil,2.0,1.0,Copa America,Montevideo,Uruguay,True
11/25/1923,Uruguay,Brazil,2.0,1.0,Copa America,Montevideo,Uruguay,False
12/2/1923,Uruguay,Argentina,2.0,0.0,Copa America,Montevideo,Uruguay,False
10/12/1924,Argentina,Paraguay,0.0,0.0,Copa America,Montevideo,Uruguay,True
10/19/1924,Uruguay,Chile,5.0,0.0,Copa America,Montevideo,Uruguay,False
10/25/1924,Argentina,Chile,2.0,0.0,Copa America,Montevideo,Uruguay,True
10/26/1924,Uruguay,Paraguay,3.0,1.0,Copa America,Montevideo,Uruguay,False
11/1/1924,Chile,Paraguay,1.0,3.0,Copa America,Montevideo,Uruguay,True
11/2/1924,Uruguay,Argentina,0.0,0.0,Copa America,Montevideo,Uruguay,False
11/29/1925,Argentina,Paraguay,2.0,0.0,Copa America,Buenos Aires,Argentina,False
12/6/1925,Brazil,Paraguay,5.0,2.0,Copa America,Buenos Aires,Argentina,True
12/13/1925,Argentina,Brazil,4.0,1.0,Copa America,Buenos Aires,Argentina,False
12/17/1925,Brazil,Paraguay,3.0,1.0,Copa America,Buenos Aires,Argentina,True
12/20/1925,Argentina,Paraguay,3.0,1.0,Copa America,Buenos Aires,Argentina,False
12/25/1925,Argentina,Brazil,2.0,2.0,Copa America,Buenos Aires,Argentina,False
10/12/1926,Chile,Bolivia,7.0,1.0,Copa America,Santiago,Chile,False
10/16/1926,Argentina,Bolivia,5.0,0.0,Copa America,Santiago,Chile,True
10/17/1926,Chile,Uruguay,1.0,3.0,Copa America,Santiago,Chile,False
10/20/1926,Argentina,Paraguay,8.0,0.0,Copa America,Santiago,Chile,True
10/23/1926,Bolivia,Paraguay,1.0,6.0,Copa America,Santiago,Chile,True
10/24/1926,Argentina,Uruguay,0.0,2.0,Copa America,Santiago,Chile,True
10/28/1926,Bolivia,Uruguay,0.0,6.0,Copa America,Santiago,Chile,True
10/31/1926,Chile,Argentina,1.0,1.0,Copa America,Santiago,Chile,False
11/1/1926,Paraguay,Uruguay,1.0,6.0,Copa America,Santiago,Chile,True
11/3/1926,Chile,Paraguay,5.0,1.0,Copa America,Santiago,Chile,False
10/30/1927,Argentina,Bolivia,7.0,1.0,Copa America,Lima,Peru,True
11/1/1927,Peru,Uruguay,0.0,4.0,Copa America,Lima,Peru,False
11/6/1927,Bolivia,Uruguay,0.0,9.0,Copa America,Lima,Peru,True
11/13/1927,Peru,Bolivia,3.0,2.0,Copa America,Lima,Peru,False
11/20/1927,Argentina,Uruguay,3.0,2.0,Copa America,Lima,Peru,True
11/27/1927,Peru,Argentina,1.0,5.0,Copa America,Lima,Peru,False
11/1/1929,Paraguay,Uruguay,3.0,0.0,Copa America,Buenos Aires,Argentina,True
11/3/1929,Argentina,Peru,3.0,0.0,Copa America,Buenos Aires,Argentina,False
11/10/1929,Argentina,Paraguay,4.0,1.0,Copa America,Buenos Aires,Argentina,False
11/11/1929,Peru,Uruguay,1.0,4.0,Copa America,Buenos Aires,Argentina,True
11/16/1929,Paraguay,Peru,5.0,0.0,Copa America,Avellaneda,Argentina,True
11/17/1929,Argentina,Uruguay,2.0,0.0,Copa America,Buenos Aires,Argentina,False
1/6/1935,Argentina,Chile,4.0,1.0,Copa America,Lima,Peru,True
1/13/1935,Peru,Uruguay,0.0,1.0,Copa America,Lima,Peru,False
1/18/1935,Chile,Uruguay,1.0,2.0,Copa America,Lima,Peru,True
1/20/1935,Peru,Argentina,1.0,4.0,Copa America,Lima,Peru,False
1/26/1935,Peru,Chile,1.0,0.0,Copa America,Lima,Peru,False
1/27/1935,Argentina,Uruguay,0.0,3.0,Copa America,Lima,Peru,True
12/27/1936,Brazil,Peru,3.0,2.0,Copa America,Buenos Aires,Argentina,True
12/30/1936,Argentina,Chile,2.0,1.0,Copa America,Buenos Aires,Argentina,False
1/2/1937,Paraguay,Uruguay,4.0,2.0,Copa America,Buenos Aires,Argentina,True
1/3/1937,Brazil,Chile,6.0,4.0,Copa America,Buenos Aires,Argentina,True
1/6/1937,Peru,Uruguay,2.0,4.0,Copa America,Buenos Aires,Argentina,True
1/9/1937,Argentina,Paraguay,6.0,1.0,Copa America,Buenos Aires,Argentina,False
1/10/1937,Chile,Uruguay,3.0,0.0,Copa America,Buenos Aires,Argentina,True
1/13/1937,Brazil,Paraguay,5.0,0.0,Copa America,Buenos Aires,Argentina,True
1/16/1937,Argentina,Peru,1.0,0.0,Copa America,Buenos Aires,Argentina,False
1/17/1937,Chile,Paraguay,2.0,3.0,Copa America,Buenos Aires,Argentina,True
1/19/1937,Brazil,Uruguay,3.0,2.0,Copa America,Buenos Aires,Argentina,True
1/21/1937,Chile,Peru,2.0,2.0,Copa America,Buenos Aires,Argentina,True
1/23/1937,Argentina,Uruguay,2.0,3.0,Copa America,Buenos Aires,Argentina,False
1/24/1937,Paraguay,Peru,0.0,1.0,Copa America,Buenos Aires,Argentina,True
1/30/1937,Argentina,Brazil,1.0,0.0,Copa America,Buenos Aires,Argentina,False
2/1/1937,Argentina,Brazil,2.0,0.0,Copa America,Buenos Aires,Argentina,False
1/15/1939,Chile,Paraguay,1.0,5.0,Copa America,Lima,Peru,True
1/15/1939,Peru,Ecuador,5.0,2.0,Copa America,Lima,Peru,False
1/22/1939,Ecuador,Uruguay,0.0,6.0,Copa America,Lima,Peru,True
1/22/1939,Peru,Chile,3.0,1.0,Copa America,Lima,Peru,False
1/29/1939,Chile,Uruguay,2.0,3.0,Copa America,Lima,Peru,True
1/29/1939,Peru,Paraguay,3.0,0.0,Copa America,Lima,Peru,False
2/5/1939,Chile,Ecuador,4.0,1.0,Copa America,Lima,Peru,True
2/5/1939,Paraguay,Uruguay,1.0,3.0,Copa America,Lima,Peru,True
2/12/1939,Ecuador,Paraguay,1.0,3.0,Copa America,Lima,Peru,True
2/12/1939,Peru,Uruguay,2.0,1.0,Copa America,Lima,Peru,False
2/2/1941,Chile,Ecuador,5.0,0.0,Copa America,Santiago,Chile,False
2/9/1941,Chile,Peru,1.0,0.0,Copa America,Santiago,Chile,False
2/9/1941,Ecuador,Uruguay,0.0,6.0,Copa America,Santiago,Chile,True
2/12/1941,Argentina,Peru,2.0,1.0,Copa America,Santiago,Chile,True
2/16/1941,Argentina,Ecuador,6.0,1.0,Copa America,Santiago,Chile,True
2/16/1941,Chile,Uruguay,0.0,2.0,Copa America,Santiago,Chile,False
2/23/1941,Argentina,Uruguay,1.0,0.0,Copa America,Santiago,Chile,True
2/23/1941,Ecuador,Peru,0.0,4.0,Copa America,Santiago,Chile,True
2/26/1941,Peru,Uruguay,0.0,2.0,Copa America,Santiago,Chile,True
3/4/1941,Chile,Argentina,0.0,1.0,Copa America,Santiago,Chile,False
1/10/1942,Uruguay,Chile,6.0,1.0,Copa America,Montevideo,Uruguay,False
1/11/1942,Argentina,Paraguay,4.0,3.0,Copa America,Montevideo,Uruguay,True
1/14/1942,Brazil,Chile,6.0,1.0,Copa America,Montevideo,Uruguay,True
1/17/1942,Argentina,Brazil,2.0,1.0,Copa America,Montevideo,Uruguay,True
1/18/1942,Paraguay,Peru,1.0,1.0,Copa America,Montevideo,Uruguay,True
1/18/1942,Uruguay,Ecuador,7.0,0.0,Copa America,Montevideo,Uruguay,False
1/21/1942,Brazil,Peru,2.0,1.0,Copa America,Montevideo,Uruguay,True
1/22/1942,Argentina,Ecuador,12.0,0.0,Copa America,Montevideo,Uruguay,True
1/22/1942,Chile,Paraguay,0.0,2.0,Copa America,Montevideo,Uruguay,True
1/24/1942,Uruguay,Brazil,1.0,0.0,Copa America,Montevideo,Uruguay,False
1/25/1942,Argentina,Peru,3.0,1.0,Copa America,Montevideo,Uruguay,True
1/25/1942,Ecuador,Paraguay,1.0,3.0,Copa America,Montevideo,Uruguay,True
1/28/1942,Ecuador,Peru,1.0,2.0,Copa America,Montevideo,Uruguay,True
1/28/1942,Uruguay,Paraguay,3.0,1.0,Copa America,Montevideo,Uruguay,False
1/31/1942,Argentina,Chile,0.0,0.0,Copa America,Montevideo,Uruguay,True
1/31/1942,Brazil,Ecuador,5.0,1.0,Copa America,Montevideo,Uruguay,True
2/1/1942,Uruguay,Peru,3.0,0.0,Copa America,Montevideo,Uruguay,False
2/5/1942,Brazil,Paraguay,1.0,1.0,Copa America,Montevideo,Uruguay,True
2/5/1942,Chile,Ecuador,2.0,1.0,Copa America,Montevideo,Uruguay,True
2/7/1942,Chile,Peru,0.0,0.0,Copa America,Montevideo,Uruguay,True
2/7/1942,Uruguay,Argentina,1.0,0.0,Copa America,Montevideo,Uruguay,False
1/14/1945,Chile,Ecuador,6.0,3.0,Copa America,Santiago,Chile,False
