Squad,Group,xGS,xGA,% of Points Taken
Qatar,A,1.4717311945990366,1.0457861860965494,0.6010889696172896
Iran,B,1.5206215551013722,0.7594128787171791,0.697029989208942
South Korea,H,1.4705959439177083,0.6463785196922208,0.7283852252752075
Japan,E,1.5855921549457537,1.1521382928602435,0.5946461185980861
Saudi Arabia,C,1.1779602458118204,0.7650932382978416,0.6266449554239172
Australia,D,1.7580874591210671,0.9765950303045833,0.6694042296891612
Ghana,H,0.7475156339320066,0.7962572200514713,0.48105895195737
Senegal,A,1.4492380221496157,0.5341929926409514,0.7681052591852667
Tunisia,D,1.0729974352293008,0.6427868965700877,0.6490526723989217
Cameroon,G,1.2447218458117606,0.5776420200308354,0.7152978817357106
Morocco,F,1.514195896847415,0.49392959592207075,0.7931955609918435
Canada,F,1.8301930147654206,1.1639512000150543,0.6325381919560558
Mexico,C,1.8203909501014406,0.7069713662341133,0.7567567102263658
United States,B,1.6669379218297093,0.876978414638292,0.6836752213418587
Costa Rica,E,1.1342867415850968,1.039307472332269,0.5262107808409711
Brazil,G,1.8480810265688228,0.5351122824727477,0.8156744452581934
Argentina,C,1.5222678598860115,0.7125878198515901,0.7131769365295317
Ecuador,A,1.100618735501271,1.0888020038553141,0.5032383034329192
Uruguay,H,1.2405811605677517,1.0549040311510594,0.54848619952249
Germany,E,2.634661785815135,0.7457954659965638,0.8197227828307547
Denmark,D,2.09956276509866,0.7362782223282431,0.7785871019181405
Belgium,F,2.429895599771159,0.6540772413429496,0.8284744476959994
France,D,1.8473934403103804,0.6423015264647943,0.7803603815008513
Croatia,F,1.807317977080308,0.8935792372023863,0.6995670575552531
Spain,E,2.1824670173022076,0.5924345297732063,0.8270360319558283
Serbia,G,2.016305754487616,1.0694873598266257,0.6815502055643873
England,B,2.2437883277030917,0.604073657277876,0.8284482998923528
Switzerland,G,1.764158347517899,0.9278359936549173,0.6837563792111145
Netherlands,A,2.4548423901072223,0.5886784474604497,0.847292970427077
Portugal,H,2.27323565152516,0.7636734018604361,0.7873429478698413
Poland,C,1.514732025336837,0.9385454498336998,0.6397766893269291
Wales,B,1.3342312912328658,1.150965909346021,0.5442103817849258
